url,followers,following,tweets,account_created,account_age_days,tweet_activity,followers_max_growth,followers_max_loss,tweets_max_growth,tweets_max_loss,error
https://www.twitter.com/urbchallenger,36,152,86,2015-12-06,3315,0.03,,,,,
https://twitter.com/Urban_Ground_DE,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/VERIMI_Now,1114,161,853,2017-12-07,2583,0.33,24,-14,7,-2,
https://twitter.com/verne_ai,10,54,3,2017-09-13,2668,0.0,3,-1,0,0,
https://twitter.com/vermietet,184,196,14,2016-09-25,3021,0.0,14,-12,0,-2,
https://twitter.com/VERITASesports1,292,94,513,2017-09-20,2661,0.19,87,-7,5,-3,
https://twitter.com/viomedo,231,18,130,2016-01-08,3282,0.04,3,-5,0,-1,
https://twitter.com/veyocare,11,50,2,2015-07-31,3443,0.0,8,-5,0,0,
https://twitter.com/vivirahealth,92,153,66,2017-03-14,2851,0.02,18,-12,9,-1,
https://twitter.com/vetevo_de,44,1,16,2017-03-17,2848,0.01,4,-2,6,0,
https://twitter.com/VeronymCSSP,17,0,0,2018-08-20,2327,0.0,3,-2,0,0,
https://twitter.com/weare_rooms,47,108,186,2018-04-24,2445,0.08,1,-1,0,0,
http://twitter.com/whoelseai,140,1946,307,2019-06-25,2018,0.15,25,-46,0,-1,
https://twitter.com/wondder_berlin,6,36,0,2021-06-24,1288,0.0,,,,,
https://twitter.com/weps_official,571,255,175,2016-03-14,3216,0.05,14,-46,0,-1,
https://twitter.com/WakuRobotics,340,168,153,2017-06-29,2744,0.06,12,-15,0,-2,
https://twitter.com/wefoxhq,1709,1868,657,2015-04-08,3557,0.18,93,-8,2,-12,
https://twitter.com/adoptwombat,58915,458,4391,2019-05-21,2053,2.14,10681,-2042,330,6,
https://twitter.com/volders,271,406,855,2014-01-22,3998,0.21,5,-6,2,-7,
https://twitter.com/watchmaster,666,197,3076,2015-06-01,3503,0.88,35,-19,140,-1,
https://www.twitter.com/wellnowapp,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/xbirdhealth?lang=en,557,428,1097,2015-08-13,3430,0.32,1,-2,0,-1,
https://twitter.com/worldcoin,452008,65,2563,2009-08-30,5604,0.46,112187,-517,175,0,
https://twitter.com/xolo3D,616,569,120,2020-10-05,1550,0.08,27,-20,13,-3,
https://twitter.com/workist_com,33,12,7,2019-02-11,2152,0.0,12,-8,0,0,
https://twitter.com/wundertax,142,42,654,2017-04-04,2830,0.23,14,-4,104,0,
https://twitter.com/yptokey,20,5,3,2018-09-20,2296,0.0,1,-1,0,0,
https://twitter.com/xircles_tech?lang=en,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/yeay_tv,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/zeitgold,86,5,13,2017-08-12,2700,0.0,1,-3,0,0,
https://www.twitter.com/zenjobcom,600,268,231,2016-03-19,3211,0.07,13,-4,7,-4,
https://twitter.com/zenloop_com,10,0,0,2018-02-26,2502,0.0,1,-1,0,0,
https://twitter.com/YaakTech,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/Zinsbaustein,432,329,581,2016-03-14,3216,0.18,1,-6,1,-6,
https://www.twitter.com/5analytics,0,0,0,2022-10-31,794,0.0,0,0,0,0,
https://twitter.com/zksystems,116,93,110,2018-07-05,2373,0.05,3,-3,0,-1,
https://twitter.com/retromotion_com,266,1082,108,2016-06-07,3131,0.03,,,,,
https://twitter.com/zolar_de,592,293,1006,2017-04-25,2809,0.36,33,-10,45,-2,
https://twitter.com/asvin_iot,2820,2159,3283,2017-11-19,2601,1.26,23,-68,39,-2,
https://www.twitter.com/aervideo,224,57,356,2016-04-23,3176,0.11,5,-6,31,-1,
https://twitter.com/aucoboGmbH,119,25,308,2016-11-09,2976,0.1,3,-3,10,-2,
