Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Encore Capital,https://www.crunchbase.com/organization/encore-capital,"Entrepreneurship Program, Venture Capital",11,2,"London, England, United Kingdom",Early Stage Venture,Encore Capital is UK private equity company that focuses on backing entrepreneurial growth businesses.,"Europe, Middle East, and Africa (EMEA)",2005-01-01,year,http://encorecapital.co.uk,https://www.linkedin.com/company/encore-capital-llp,10,6,
Enterprise 100,https://www.crunchbase.com/organization/enterprise-100,Angel Group,11,2,"London, England, United Kingdom",Early Stage Venture,Enterprise 100 ('E100') is an exceptional angel network based at London Business School.,"Europe, Middle East, and Africa (EMEA)",1999-01-01,year,http://www.enterprise100.co.uk,https://www.linkedin.com/company/enterprise-100-ltd,9,3,
Exfi,https://www.crunchbase.com/organization/exfi,Angel Group,11,,"London, England, United Kingdom","Early Stage Venture, Seed",Exfi is a syndicate that invests in ex-Google founders.,"Europe, Middle East, and Africa (EMEA)",2021-01-01,year,https://www.exfi.co,https://www.linkedin.com/company/exfico/?viewAsMember=true,10,,
TechX Clean Energy Accelerator,https://www.crunchbase.com/organization/techx-clean-energy-accelerator,Accelerator,11,,"Aberdeen, Aberdeen City, United Kingdom","Grant, Seed",TechX Clean Energy Accelerator is an intensive 15-week programme for an innovative clean energy start-ups.,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.netzerotc.com/disruptive-innovation/tech-x-clean-energy-accelerator/,,11,11,
Startupbootcamp Digital Health Chengdu,https://www.crunchbase.com/organization/startupbootcamp-digital-health-chengdu,Accelerator,11,,"London, England, United Kingdom",,Dedicated accelerator for global startups working in Digital Health,"Europe, Middle East, and Africa (EMEA)",2010-01-01,year,https://www.startupbootcamp.org/accelerator/scale-chengdu/,https://www.linkedin.com/company/startupbootcamp/,11,,
Startupbootcamp Fintech New York,https://www.crunchbase.com/organization/startupbootcamp-fintech-new-york,Accelerator,11,1,"London, England, United Kingdom",,Startupbootcamp FinTech is the leading accelerator focused on financial innovation.,"Europe, Middle East, and Africa (EMEA)",2010-01-01,year,https://www.startupbootcamp.org/accelerator/fintech-new-york/,https://www.linkedin.com/company/startupbootcamp,11,,
University of Cambridge,https://www.crunchbase.com/organization/university-of-cambridge,University Program,10,,"Cambridge, Cambridgeshire, United Kingdom",,The University of Cambridge is a public research university that offers a diverse range of undergraduate and graduate programs.,"Europe, Middle East, and Africa (EMEA)",1209-01-01,day,http://www.cam.ac.uk,http://www.linkedin.com/company/university-of-cambridge,10,1,
D2 Fund,https://www.crunchbase.com/organization/double-down,"Micro VC, Venture Capital",10,,"London, England, United Kingdom","Early Stage Venture, Seed",D2 is a venture fund for ambitious equity efficient start-ups,"Europe, Middle East, and Africa (EMEA)",2022-01-01,year,https://d2.fund/,https://www.linkedin.com/company/notyourordinaryvc/,9,,
Nova Founders Capital,https://www.crunchbase.com/organization/nova-founders,Micro VC,10,3,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Private Equity, Seed","Nova Founders Capital builds and supports sustainable, large-scale internet businesses in the financial services sector.","Europe, Middle East, and Africa (EMEA)",2012-06-22,day,http://www.novafounders.com/,http://www.linkedin.com/company/nova-founders,7,2,1
Manzanita Capital,https://www.crunchbase.com/organization/manzanita-capital,"Micro VC, Private Equity Firm",10,1,"London, England, United Kingdom",Seed,Manzanita Capital is a London-based private equity firm specialized in the acquisition of brands and entrepreneurs.,"Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.manzanitacapital.com,https://www.linkedin.com/company/manzanita-capital-inc/about/,9,3,
10X Venture Partners,https://www.crunchbase.com/organization/10x-venture-partners,Angel Group,10,,"Manchester, Manchester, United Kingdom","Early Stage Venture, Seed",10X Venture Partners is a seed stage (and beyond) investment group. They commit operational experience and dollars to their portfolio,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.10xvp.com,https://www.linkedin.com/company/10x-venture-partners/about/,8,1,
Lyall Ventures,https://www.crunchbase.com/organization/lyall-ventures,"Angel Group, Family Investment Office, Fund Of Funds, Micro VC",10,1,"London, England, United Kingdom","Convertible Note, Early Stage Venture, Seed",Lyall Ventures is a family office investing in UK VC funds; Start-ups and Scale-ups. Sector agnostic and invest early-stage up to Series-A.,"Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.lyallventures.com,https://www.linkedin.com/company/lyall-ventures/,10,,
Imbiba,https://www.crunchbase.com/organization/imbiba,Micro VC,10,1,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed",Imbiba is a specialist start-up and growth capital investor in the UK leisure and hospitality market.,"Europe, Middle East, and Africa (EMEA)",1997-01-01,year,http://www.imbiba.com,https://www.linkedin.com/company/5233690/,9,3,
Namier Capital Partners,https://www.crunchbase.com/organization/namier-capital-partners,"Angel Group, Micro VC, Private Equity Firm, Venture Capital",10,1,"London, England, United Kingdom","Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Venture",Strategic and M&A advisory for growth companies and large corporations,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://namiercapital.com,https://www.linkedin.com/company/namier-capital-partners/about/,9,1,
New Anglia Capital,https://www.crunchbase.com/organization/new-anglia-capital,Entrepreneurship Program,10,,"Norwich, Norfolk, United Kingdom","Grant, Seed","New Anglia Capital are a unique business-led collaboration between the private, public and education sectors across Norfolk and Suffolk.","Europe, Middle East, and Africa (EMEA)",2013-01-01,year,https://newanglia.co.uk/new-anglia-capital/,https://www.linkedin.com/company/new-anglia-local-enterprise-partnership/,9,6,
Polymath Digital,https://www.crunchbase.com/organization/polymath-digital,"Accelerator, Venture Capital",10,4,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed, Venture",Supporting innovation through operating experience and capital,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://polymath.digital/,https://www.linkedin.com/company/polymathdigital/,10,,
Activate Studio,https://www.crunchbase.com/organization/activate-capital,"Accelerator, Incubator",10,1,"London, England, United Kingdom","Early Stage Venture, Seed","We invest in early stage companies, providing technical expertise along with advice on strategy, business model, and investor readiness.","Europe, Middle East, and Africa (EMEA)",2016-02-01,month,https://activate.co.uk/,https://www.linkedin.com/company/10489586,10,3,
Qi3 Ventures,https://www.crunchbase.com/organization/qi3-accelerator,Accelerator,10,2,"Cambridge, Cambridgeshire, United Kingdom",Seed,Qi3 Ventures specialises in supporting companies by providing financial investment and supporting rapid commercialisation of their products,"Europe, Middle East, and Africa (EMEA)",1999-01-01,year,http://www.qi3.co.uk/ventures,https://www.linkedin.com/company-beta/18093542/,10,3,
SIRIUS Program,https://www.crunchbase.com/organization/sirius-program,Accelerator,10,,"London, England, United Kingdom",,"The Sirius Programme is an amazing opportunity to get financial support, visa endorsement, a place on one of the best accelerator","Europe, Middle East, and Africa (EMEA)",,,http://siriusprogramme.com,,10,4,
British Robotics Seed Fund,https://www.crunchbase.com/organization/british-robotics-seed-fund,Angel Group,10,,"Ipswich, Suffolk, United Kingdom","Early Stage Venture, Late Stage Venture","Britbots an early-stage venture fund based in London, investing in in robotics, ai and other automative technologies.","Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://www.britbots.com,https://www.linkedin.com/company/britbots,9,7,
Defence and Security Accelerator,https://www.crunchbase.com/organization/defence-and-security-accelerator,Accelerator,10,2,"Salisbury, Wiltshire, United Kingdom","Debt, Grant",Defence and Security Accelerator is a Defense & Space organisation.,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.gov.uk/government/organisations/defence-and-security-accelerator,https://www.linkedin.com/company/defence-and-security-accelerator/,9,6,
R/GA IoT Venture Studio UK,https://www.crunchbase.com/organization/r-ga-iot-venture-studio-uk,Accelerator,10,1,"London, England, United Kingdom","Early Stage Venture, Seed","R/GA is expanding its successful Ventures initiative globally, launching its first UK program in association with InnovateUK.","Europe, Middle East, and Africa (EMEA)",2016-09-01,day,http://rgaiot.com/,https://www.linkedin.com/company/r-ga/,10,4,
SEW Capital,https://www.crunchbase.com/organization/sew-capital,"Accelerator, Angel Group, Entrepreneurship Program, Incubator, Micro VC, Private Equity Firm, Startup Competition, Venture Capital",9,,"London, England, United Kingdom","Convertible Note, Crowdfunding, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Private Equity, Seed, Venture",SEW Capital is a private equity firm that finances technology-driven companies in the retail industry.,"Europe, Middle East, and Africa (EMEA)",2012-12-19,day,http://sewcapital.co.uk,https://www.linkedin.com/company/sew-capital/,9,,
NHS Innovation Accelerator,https://www.crunchbase.com/organization/nhs-innovation-accelerator,"Accelerator, Corporate Venture Capital",9,,"London, England, United Kingdom",Non Equity Assistance,NHS Innovation Accelerator accelerates adoption and spread of high impact innovations across the NHS for patient and population benefit.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://nhsaccelerator.com/,https://www.linkedin.com/company/nhs-innovation-accelerator/,9,9,
Dot Matrix Group,https://www.crunchbase.com/organization/dot-matrix-group,Syndicate,9,2,"London, England, United Kingdom",Seed,DMG is built on reciprocity. In the startup community we all give back and help each other out.,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.dotmatrixgroup.com/,https://in.linkedin.com/company/dot-matrix-group,9,1,
Iceni Seedcorn Fund,https://www.crunchbase.com/organization/iceni-seedcorn-fund,Micro VC,9,3,"Norwich, Norfolk, United Kingdom",Seed,Iceni Seedcorn Fund helps commercialise innovation and technology development derived from the Fund's Partner Institutes.,"Europe, Middle East, and Africa (EMEA)",2002-08-01,month,http://www.icenifund.com/,https://www.linkedin.com/company/iceni-seedcorn-fund/,8,,
BioCity Group,https://www.crunchbase.com/organization/biocity-nottingham,"Accelerator, Incubator",9,,"Nottingham, Nottingham, United Kingdom","Early Stage Venture, Seed, Venture",BioCity Group is a business incubator that aides in the creation and development of life science businesses.,"Europe, Middle East, and Africa (EMEA)",2002-01-01,year,http://www.biocity.co.uk/,http://www.linkedin.com/company/biocity-nottingham,7,1,
Strive Community Innovation Fund,https://www.crunchbase.com/organization/strive-community-innovation-fund,Startup Competition,9,,"London, England, United Kingdom",Grant,"Strive Community Innovation Fund aims to spark new ideas for catalyzing small businesses' resilience and growth, at scale.","Europe, Middle East, and Africa (EMEA)",,,https://www.strivecommunity.org/innovation-fund,https://www.linkedin.com/company/strivecommunity/,9,8,
Shake climate,https://www.crunchbase.com/organization/shake-climate,"Accelerator, Incubator",9,,"Harpenden, Hertford, United Kingdom","Grant, Seed",SHAKE Climate Change is a consortium-based programme led by Rothamsted Research,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.shakeclimate.org/index.php,https://www.linkedin.com/showcase/shakeclimate/,9,6,
ODI Startup Accelerator,https://www.crunchbase.com/organization/open-data-institute-startup,Accelerator,9,,"London, England, United Kingdom",,"ODI Startup Accelerator is a year-long, bespoke programme for data-oriented startups.","Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://theodi.org,https://www.linkedin.com/company/the-open-data-institute,9,5,
Michelin Scotland Innovation Parc,https://www.crunchbase.com/organization/michelin-scotland-innovation-parc,Accelerator,9,,"Dundee, Dundee City, United Kingdom","Grant, Non Equity Assistance",Michelin Scotland Innovation Parc is a world leading innovation parc focused on sustainable mobility and decarbonisation.,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.msipdundee.com/,https://uk.linkedin.com/company/michelin-scotland-innovation-parc?trk,9,9,
Innovate UK Global Incubator Program,https://www.crunchbase.com/organization/innovate-uk-global-incubator-program,Incubator,9,1,"London, England, United Kingdom",Non Equity Assistance,Innovate UK Global Incubator helps innovative Firms investigate the potential of international markets.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.innovateukedge.ukri.org/enter-new-markets/Global-Incubator-Programme,,9,9,
Rivers Capital Partners,https://www.crunchbase.com/organization/rivers-capital-partners,"Micro VC, Venture Capital",9,1,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom","Early Stage Venture, Seed",Rivers Capital Partners is an independent venture capital fund manager created by entrepreneurs for entrepreneurs.,"Europe, Middle East, and Africa (EMEA)",2009-01-01,year,https://www.riverscap.com/,http://www.linkedin.com/company/249157,6,,
Fintech Wales Foundry,https://www.crunchbase.com/organization/fintech-wales-foundry,Accelerator,9,,"Wales, Cumbria, United Kingdom","Non Equity Assistance, Seed","Fintech Wales Foundry focuses on helping incubate, accelerate and scale new ventures within the Welsh ecosystem.","Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://foundry.fintechwales.org/,https://www.linkedin.com/company/fintech-wales,9,9,
Sunderland Internet of Things (IoT) and 5G accelerator,https://www.crunchbase.com/organization/sunderland-internet-of-things-iot-and-5g-accelerator,"Accelerator, Startup Competition",9,,"Sunderland, Sunderland, United Kingdom",Early Stage Venture,Sunderland Our Smart City IoT and 5G accelerator programme will provide access a network to cater for large-scale IoT innovation.,"Europe, Middle East, and Africa (EMEA)",2008-01-01,year,https://www.sunderlandiotaccelerator.com/,https://www.linkedin.com/company/sunderland-software-city/,9,9,
Block Dojo,https://www.crunchbase.com/organization/satoshi-block-dojo,Incubator,8,,"London, England, United Kingdom",Early Stage Venture,Venture Builder taking tech founders from an idea to an MVP in 12 weeks,"Europe, Middle East, and Africa (EMEA)",2021-01-01,year,https://www.blockdojo.io,https://www.linkedin.com/company/block-dojo/,8,7,
Wilbe Capital,https://www.crunchbase.com/organization/wilbe-ventures,"Entrepreneurship Program, Incubator, University Program, Venture Capital",8,,"London, England, United Kingdom","Early Stage Venture, Seed","We educate, build with and invest in scientists who are solving the world’s hardest problems.","Europe, Middle East, and Africa (EMEA)",2020-12-01,month,https://www.wilbe.com,https://www.linkedin.com/company/wilbe,6,,
NetZero Capital,https://www.crunchbase.com/organization/netzero-capital,"Micro VC, Venture Capital",8,,"London, England, United Kingdom",Seed,A private investment firm supporting projects in the fields of distributed ledger technology and decentralised finance,"Europe, Middle East, and Africa (EMEA)",2021-01-20,day,https://www.netzero.capital/,https://www.linkedin.com/company/69555240/,8,,
Atempo Growth,https://www.crunchbase.com/organization/atempo-growth,Venture Debt,8,1,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture",Atempo Growth provides growth finance solutions to European tech startups at every level of their development.,"Europe, Middle East, and Africa (EMEA)",2021-01-01,year,https://www.atempogrowth.com/,https://www.linkedin.com/company/atempo-growth/,8,4,1
Galvanise Capital,https://www.crunchbase.com/organization/syndicate-galvanise-capital,Angel Group,8,2,"London, England, United Kingdom","Early Stage Venture, Seed, Venture",Galvanise Capital Provides Investment For Early-Stage Technology Businesses.,"Europe, Middle East, and Africa (EMEA)",2013-01-01,year,https://www.galvanise.co/,https://www.linkedin.com/company/galvanise-digital,4,3,
IT Ventures,https://www.crunchbase.com/organization/it-ventures,"Accelerator, Venture Capital",8,3,"London, England, United Kingdom","Early Stage Venture, Seed",IT Ventures invests in startups to turn business ideas into enduring companies.,"Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.itventures.co.nz,https://www.linkedin.com/company/i-t-ventures,7,2,1
Ashridge Capital LLP,https://www.crunchbase.com/organization/ashridge-capital-llp,"Micro VC, Private Equity Firm",8,1,"London, England, United Kingdom",Venture,Ashridge Capital LLP is a private equity firm specializing in restructuring and management buy-outs.,"Europe, Middle East, and Africa (EMEA)",2009-01-01,year,http://www.ashridgecapital.com,,6,1,
Aurora Private Equity,https://www.crunchbase.com/organization/aurora-private-equity-limited,Angel Group,8,2,"Aberdeen, Aberdeen City, United Kingdom",Late Stage Venture,Aurora Private Equity is a business angel groups with aim of funding and supporting emerging companies with prospects of high growth.,"Europe, Middle East, and Africa (EMEA)",2003-01-01,year,http://www.auroraequity.co.uk,http://www.linkedin.com/company/2531860,8,5,1
Dream Assembly Base Camp,https://www.crunchbase.com/organization/dream-assembly-base-camp,Accelerator,8,,"London, England, United Kingdom",Seed,Dream Assembly Base Camp is a new Web3 accelerator powered by a strategic partnership between FARFETCH and Outlier Ventures.,"Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://outlierventures.io/dream-assembly-base-camp,https://www.linkedin.com/company/outlierventures,8,,
Propel@YH,https://www.crunchbase.com/organization/propel-yh,Accelerator,8,,"London, England, United Kingdom",Non Equity Assistance,Propel@YH is a Turbo-charging digital health innovation.,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.propel-yh.com/,https://www.linkedin.com/showcase/propel-yh/,8,8,
University of Bristol Enterprise Fund,https://www.crunchbase.com/organization/university-of-bristol-enterprise-fund,University Program,8,,"London, England, United Kingdom","Early Stage Venture, Late Stage Venture, Seed",University of Bristol Enterprise Fund is a commercial organization that provides in private investors opportunities.,"Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://parkwalkadvisors.com/pw_ubef/,,7,1,
Yorkshire Association of Business Angels,https://www.crunchbase.com/organization/yorkshire-association-of-business-angels,Angel Group,8,2,"Harrogate, North Yorkshire, United Kingdom","Late Stage Venture, Seed",Yorkshire Association of Business Angels (YABA) is a unique forum which brings together the finance and business expertise of business.,"Europe, Middle East, and Africa (EMEA)",1995-01-01,year,http://www.yaba.org.uk,,7,1,
Student Upstarts,https://www.crunchbase.com/organization/student-upstarts,Incubator,8,1,"London, England, United Kingdom",Seed,"Student Upstarts invests up to £15,000 in exchange for up to 8% equity in student teams to create and build businesses.","Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://studentupstarts.com,https://www.linkedin.com/company/student-upstarts-limited,8,2,
firedrop,https://www.crunchbase.com/organization/firedrop-fa34,"Micro VC, Venture Capital",7,,"London, England, United Kingdom",Seed,Angel fund by Pietro Invernizzi,"Europe, Middle East, and Africa (EMEA)",2023-03-01,day,https://www.firedrop.vc/,https://www.linkedin.com/company/firedrop-vc/,7,1,
NatWest Markets,https://www.crunchbase.com/organization/natwest-markets,"Investment Bank, Venture Debt",7,2,"London, England, United Kingdom","Debt, Post-Ipo",NatWest Markets is a financial service that offers personal and corporate banking products and solutions.,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://ci.natwest.com,https://www.linkedin.com/company/natwest-markets,6,1,2
AlbaCore Capital,https://www.crunchbase.com/organization/albacore-capital,Venture Debt,7,2,"London, England, United Kingdom","Convertible Note, Early Stage Venture, Post-Ipo, Venture",AlbaCore Capital focuses on credit investments across capital structures and jurisdictions.,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.albacorecapital.com,https://www.linkedin.com/company/albacore-capital-group,4,5,2
Oxford Innovation,https://www.crunchbase.com/organization/oxford-innovation,Incubator,7,,"Oxford, Oxfordshire, United Kingdom",,"Oxford Innovation manage business & innovation centres on behalf of a range of building owners, local authorities and property investors.","Europe, Middle East, and Africa (EMEA)",1987-01-01,year,https://oxfordinnovationspace.co.uk,https://www.linkedin.com/company/oxford-innovation/,7,,
Spin Ventures,https://www.crunchbase.com/organization/spin-ventures,"Accelerator, Venture Capital",7,,"London, England, United Kingdom","Early Stage Venture, Seed","Designed to decarbonise the Consumer & Retail Industries Seed / Series A B2B Climate Tech (Data, Material, AI, ReCommerce, Manufacturing)","Europe, Middle East, and Africa (EMEA)",2012-07-12,day,http://www.spin.vc,http://www.linkedin.com/company/spin-ventures,7,5,
Green Investment Group,https://www.crunchbase.com/organization/green-investment-group,"Accelerator, Private Equity Firm",7,1,"Edinburgh, Edinburgh, City of, United Kingdom",Private Equity,"Green Investment Group is a investor, sponsor and developer in green infrastructure.","Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://www.greeninvestmentgroup.com/,https://www.linkedin.com/company/greeninvestmentgroup,7,3,
1Capital,https://www.crunchbase.com/organization/1capital,"Incubator, Venture Capital",7,,"London, England, United Kingdom","Crowdfunding, Initial Coin Offering, Private Equity, Seed, Venture",An investment firm primarily focusing on digital assets and blockchain technology,"Europe, Middle East, and Africa (EMEA)",2023-01-01,year,https://1capital.xyz/,,7,1,
Shard Credit Partners,https://www.crunchbase.com/organization/shard-credit-partners,Venture Debt,7,2,"London, England, United Kingdom",Debt,Shard Credit Partners is an innovative provider of alternative finance to small and medium-sized enterprises.,"Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://www.shardcreditpartners.com/,https://www.linkedin.com/company/shard-credit-partners-limited/,7,7,1
Sky Zero Footprint Fund,https://www.crunchbase.com/organization/sky-zero-footprint-fund,Accelerator,7,,"Isleworth, Hounslow, United Kingdom",,Sky Zero Footprint Fund supports brands committed to a more sustainable future by helping to amplify their positive environmental messages.,"Europe, Middle East, and Africa (EMEA)",,,https://www.skyzero.sky,,7,7,
Avellinia Capital,https://www.crunchbase.com/organization/avellinia-capital,"Venture Capital, Venture Debt",7,1,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Seed",Avellinia Capital provides capital to responsible alternative lenders.,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://avellinia.com/,https://www.linkedin.com/company/avellinia-capital/about/,7,6,
UnLtd,https://www.crunchbase.com/organization/unltd,Micro VC,7,1,"London, England, United Kingdom","Grant, Seed","UnLtd supports social entrepreneurs in the UK by investing directly in individuals and offering resources, networking.","Europe, Middle East, and Africa (EMEA)",2001-01-01,day,http://unltd.org.uk,http://www.linkedin.com/company/47946,6,2,
London & Scottish Investment Partners,https://www.crunchbase.com/organization/london-scottish-investment-partners,Angel Group,7,,"Edinburgh, Edinburgh, City of, United Kingdom","Early Stage Venture, Seed",London & Scottish Investment Partners are a Scottish-based angel group supported by investors from London and Scotland.,"Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.lsip.co.uk,https://www.linkedin.com/company/london-scottish-investment-partners,5,2,
AdamTech Ventures,https://www.crunchbase.com/organization/adamtech-ventures,Micro VC,7,,"London, England, United Kingdom","Early Stage Venture, Seed",Adamtech is The result of three entrepreneurs joining their life experiences together.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.adamtechventures.com,https://www.linkedin.com/company/adamtech-vc/about/,5,2,
Esmée Fairbairn Foundation,https://www.crunchbase.com/organization/esmee-fairbairn-foundation,Venture Debt,7,,"London, England, United Kingdom",,The Esmee Fairbairn Foundation is an independent grant-making foundations in the UK.,"Europe, Middle East, and Africa (EMEA)",1961-01-01,year,http://esmeefairbairn.org.uk/,https://www.linkedin.com/company/esmee-fairbairn-foundation/?originalSubdomain=uk,6,1,
Meyvn,https://www.crunchbase.com/organization/meyvn,"Accelerator, Angel Group, Micro VC, Syndicate, Venture Capital",7,1,"London, England, United Kingdom","Early Stage Venture, Seed",Meyvn is a product development advisor & early-stage VC that invest and co-develops next gen products with the world's greatest founders,"Europe, Middle East, and Africa (EMEA)",2013-09-01,month,https://meyvndigital.co.uk/,https://www.linkedin.com/company/meyvndigital/about/,5,,
BMW Innovation Lab,https://www.crunchbase.com/organization/bmw-innovation-lab,Accelerator,7,2,"Farnborough, Hampshire, United Kingdom",,BMW Innovation Lab offers an opportunity for startups to test their solutions in a live customer environment.,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://bmwinnovationlab.co.uk/,https://www.linkedin.com/company/bmw-innovation-lab/,7,5,
Black Girl Fest,https://www.crunchbase.com/organization/black-girl-fest,Accelerator,7,,"London, England, United Kingdom",Non Equity Assistance,Black Girl Fest Studio building studios with the goal of improving the future for Black women.,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.blackgirlfest.com,https://www.linkedin.com/company/black-girl-fest/,7,7,
StartPlanetNI,https://www.crunchbase.com/organization/startplanetni,Accelerator,7,,"Belfast, Belfast, United Kingdom",,"They focus on a number of core activities to develop the team, the business model and the potential to gain follow-on funding.","Europe, Middle East, and Africa (EMEA)",,,http://www.startplanetni.com/,https://www.linkedin.com/in/philip-moynagh-5614aa7,7,6,
Shell LiveWIRE,https://www.crunchbase.com/organization/shell-livewire,"Accelerator, Entrepreneurship Program",7,,"London, England, United Kingdom","Early Stage Venture, Grant",Shell LiveWIRE is the flagship enterprise development programe of Shell.,"Europe, Middle East, and Africa (EMEA)",1982-01-01,year,https://livewire.shell.com.my,https://www.linkedin.com/company/desaf%C3%ADo-joven-shell-live-wire/,7,7,
Rainmaking,https://www.crunchbase.com/organization/rainmaking,"Accelerator, Incubator, Venture Capital",7,,"London, England, United Kingdom","Early Stage Venture, Initial Coin Offering, Seed, Venture",Rainmaking is a corporate innovation and venture development firm.,"Europe, Middle East, and Africa (EMEA)",2006-01-01,year,https://rainmaking.io/,http://www.linkedin.com/company/rainmaking,7,3,
EY Startup Challenge,https://www.crunchbase.com/organization/ey-startup-challenge,Accelerator,7,1,"London, England, United Kingdom",Seed,The EY Startup Challenge explores some of these exciting new technologies in a mentorship-driven programme.,"Europe, Middle East, and Africa (EMEA)",1989-01-01,year,http://www.ey.com/UK/en/Services/Specialty-Services/EY-startup-challenge,https://www.linkedin.com/company/ernstandyoung/,6,6,1
University Challenge Fund,https://www.crunchbase.com/organization/university-challenge-fund,"University Program, Venture Capital",7,2,"Belfast, Belfast, United Kingdom",,University Challenge Fund is an equity investment firm that invests in startups and seed stage companies.,"Europe, Middle East, and Africa (EMEA)",1999-01-01,year,,,7,2,1
University of Birmingham,https://www.crunchbase.com/organization/university-of-birmingham,University Program,6,,"Birmingham, Birmingham, United Kingdom",,The University of Birmingham has been challenging and developing great minds for more than a century.,"Europe, Middle East, and Africa (EMEA)",1900-05-01,month,http://www.birmingham.ac.uk/,https://www.linkedin.com/edu/school?id=12662&trk=edu-up-nav-menu-home,5,,
University of Edinburgh,https://www.crunchbase.com/organization/the-university-of-edinburgh,University Program,6,,"Edinburgh, Edinburgh, City of, United Kingdom",,Founded in 1583. It is one of Scotland's oldest universities and a world top 20 university,"Europe, Middle East, and Africa (EMEA)",1583-01-01,year,http://www.ed.ac.uk,https://www.linkedin.com/company/university-of-edinburgh,6,,
Welsh Development Agency,https://www.crunchbase.com/organization/welsh-development-agency,"Government Office, Micro VC",6,1,"Cardiff, Cardiff, United Kingdom",Seed,Welsh Development Agency is a company that offers health and social services.,"Europe, Middle East, and Africa (EMEA)",1976-01-01,day,http://gov.wales,https://www.linkedin.com/company/welsh-government,5,,
ustwo,https://www.crunchbase.com/organization/ustwo,Micro VC,6,,"London, England, United Kingdom","Early Stage Venture, Seed",Ustwo is a digital design studio that delivers interaction and user interface design services.,"Europe, Middle East, and Africa (EMEA)",2004-11-01,day,http://www.ustwo.com,http://www.linkedin.com/company/ustwo-,6,,
Multivitamin Studio,https://www.crunchbase.com/organization/vitamin-london,"Accelerator, Angel Group, Incubator, Venture Capital",6,,"London, England, United Kingdom",Seed,Digital innovation & production. We build value.,"Europe, Middle East, and Africa (EMEA)",2011-09-01,month,http://multivitamin.studio,https://www.linkedin.com/company/multivitamin.studio,5,,
ALSA Ventures,https://www.crunchbase.com/organization/alsa-ventures,Accelerator,6,,"London, England, United Kingdom","Early Stage Venture, Seed",ALSA Ventures invest in biotechnology companies passionate about bringing novel therapies to patients.,"Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.alsaventures.com/,https://www.linkedin.com/company/alsa-holdings,5,,
GC Business Finance,https://www.crunchbase.com/organization/gc-business-finance,"Venture Capital, Venture Debt",6,,"Manchester, Manchester, United Kingdom",,GC Business Finance is a trading name of The Enterprise Fund Limited,"Europe, Middle East, and Africa (EMEA)",2002-01-01,year,https://businessfinance.growthco.uk/,https://www.linkedin.com/company/business-finance-solutions/,6,3,
