Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Green House Capital Group,https://www.crunchbase.com/organization/green-house-capital-group,Incubator,,,"Leeds, Leeds, United Kingdom",Early Stage Venture,Green House Capital Group operates as an incubator for early-stage companies in the green and alternative energy sector.,"Europe, Middle East, and Africa (EMEA)",,,,https://www.linkedin.com/company/ghcgroup/,,,
Skygate Capital,https://www.crunchbase.com/organization/skygate-capital,"Angel Group, Venture Capital",,,"London, England, United Kingdom",Early Stage Venture,Skygate invests and advises companies that want to build and use disruptive technology.,"Europe, Middle East, and Africa (EMEA)",2017-10-01,month,https://www.skygatecapital.com,,,,
The eXcellence Group,https://www.crunchbase.com/organization/the-excellence-group,Angel Group,,,"London, England, United Kingdom",,"The eXcellence Group connects innovative startups with high net worth, angel investors and venture capital in the UK.","Europe, Middle East, and Africa (EMEA)",2012-09-12,day,http://www.excellencegroup.co.uk,,,,
Pygmalion Capital,https://www.crunchbase.com/organization/pygmalion-capital,"Angel Group, Private Equity Firm",,,"London, England, United Kingdom",,Pygmalion Capital is an investment firm that focuses on European hotel investing.,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://pygmalioncapital.com,https://www.linkedin.com/company/pygmalion-capital-advisers-lp,,,
Uphold,https://www.crunchbase.com/organization/uphold-customer-service,"Angel Group, Venture Capital",,,"London, England, United Kingdom","Early Stage Venture, Seed",exchange a variety of currencies easily with very lows fees.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://wallet.uphold.com/,https://www.linkedin.com/company/upholdinc,,,
Skin In The Game,https://www.crunchbase.com/organization/skin-in-the-game,Angel Group,,,"London, England, United Kingdom","Early Stage Venture, Seed","Skin In The Game is an FCA-regulated investment group, investing in the future of sports and human performance.","Europe, Middle East, and Africa (EMEA)",2021-01-01,year,https://www.skininthegamegroup.com,https://www.linkedin.com/company/skininthegamegroup,,,
Sheffield Technology Parks,https://www.crunchbase.com/organization/sheffield-technology-parks,"Co-Working Space, Incubator",,,"Sheffield, Sheffield, United Kingdom",,Sheffield Technology Parks is a specialist IT and Technology business centre.,"Europe, Middle East, and Africa (EMEA)",1988-01-01,year,https://www.shefftechparks.com/,https://www.linkedin.com/company/sheffield-technology-parks/,,,
AccelerateMe,https://www.crunchbase.com/organization/accelerateme,Accelerator,,,"Manchester, Manchester, United Kingdom",Early Stage Venture,AccelerateMe is empowering and supporting students to build businesses.,"Europe, Middle East, and Africa (EMEA)",2008-01-01,year,https://accelerateme.co,https://www.linkedin.com/company/manchester-entrepreneurs/,,,
IncuBus Ventures,https://www.crunchbase.com/organization/incubus,Incubator,,,"London, England, United Kingdom",Seed,IncuBus Ventures is an early stage incubator getting startups ready for the world's best accelerators and further funding.,"Europe, Middle East, and Africa (EMEA)",2013-10-10,day,http://www.incubuslondon.com/,http://www.linkedin.com/company/3374242,,,
NEOM Ventures LLP,https://www.crunchbase.com/organization/neom-ventures-llp,"Accelerator, Incubator, Venture Capital, Venture Debt",,,"London, England, United Kingdom","Convertible Note, Early Stage Venture, Seed, Venture","We invest in and offer advice on businesses that relentlessly pursue and foster creativity, talent and innovation.","Europe, Middle East, and Africa (EMEA)",2016-11-01,month,http://neom.ventures/,http://www.linkedin.com/company/neom-ventures-llp,,,
HutZero,https://www.crunchbase.com/organization/hutzero,Accelerator,,,"London, England, United Kingdom",Seed,HutZero is a two stage early stage accelerator programme.,"Europe, Middle East, and Africa (EMEA)",,,http://www.hutzero.co.uk/,https://www.linkedin.com/company/hut-zero,,,
SISFUND,https://www.crunchbase.com/organization/sisfund,"Investment Bank, Micro VC",,,"London, England, United Kingdom",,Seed Capital for UK based startups on pre or early stage revenues,"Europe, Middle East, and Africa (EMEA)",2014-06-30,day,http://www.sisfund.com,,,,
Startup Hacks London,https://www.crunchbase.com/organization/startup-hacks-london,Startup Competition,,,"London, England, United Kingdom",,"Startup Hacks is a 48 hour weekend for developers, designers and business minded entrepreneurs to think, develop and ultimately create a","Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.startuphacks.co,http://www.linkedin.com/in/matthiasrmeier,,,
NISP CONNECT,https://www.crunchbase.com/organization/nisp-connect,Angel Group,,,"Belfast, Belfast, United Kingdom",,"NISP CONNECT is an independent, non-profit organisation that supports the development of innovative technologies.","Europe, Middle East, and Africa (EMEA)",2005-01-01,year,http://www.nisp.co.uk/nisp-connect/,https://www.linkedin.com/company/halo---the-northern-ireland-business-angel-network,,,
