Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
YoungBrains,https://www.crunchbase.com/organization/youngbrains,"Micro VC, Venture Debt",9,4,"Hamburg, Hamburg, Germany","Early Stage Venture, Seed","YoungBrains is an angel investor that helps founders and their teams launch new ventures, develop products, and raise external capital.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2009-01-01,year,http://www.youngbrains.net,,9,6,
DB Accelerator,https://www.crunchbase.com/organization/db-accelerator,Accelerator,9,1,"Berlin, Berlin, Germany","Non Equity Assistance, Seed","DB Accelerator focuses on railway infrastructure and mobility related startups, which introduce new business models or technologies.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://dbmindbox.com/en/,https://www.linkedin.com/company/dbmindbox/,9,,
Arve Capital,https://www.crunchbase.com/organization/arve-capital,"Family Investment Office, Venture Capital",8,,"Heidelberg, Baden-Wurttemberg, Germany","Early Stage Venture, Seed","Arve Capital, the VC arm of a German family office, specializes in investing in early-stage companies within the area of health & wellbeing.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.arve.capital,https://www.linkedin.com/company/arve-capital/,8,,
Allianz Global Investors,https://www.crunchbase.com/organization/allianz-global-investors,Private Equity Firm,8,3,"Munich, Bayern, Germany","Debt, Post-Ipo, Private Equity",Allianz Global Investors is a diversified active investment manager with a strong parent company and a culture of risk management.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1956-01-01,year,https://www.allianzgi.com/,https://www.linkedin.com/company/allianz-global-investors,8,3,2
Hamburg Commercial Bank,https://www.crunchbase.com/organization/hamburg-commercial-bank,Investment Bank,8,4,"Hamburg, Hamburg, Germany","Debt, Early Stage Venture",Hamburg Commercial Bank is a private commercial bank that consistently thinks its mostly medium-sized corporate customers.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2003-06-02,day,https://www.hcob-bank.de,https://www.linkedin.com/company/hamburg-commercial-bank,7,3,2
WEPA Ventures,https://www.crunchbase.com/organization/wepa-ventures,Corporate Venture Capital,8,,"Arnsberg, Nordrhein-Westfalen, Germany","Early Stage Venture, Seed",WEPA Ventures operates as a Family Venture Capital firm of WEPA Group.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1948-01-01,year,https://www.wepa.eu/en/wepa-group/new-business-areas/wepa-ventures/,https://www.linkedin.com/company/wepahygiene/about/,7,1,
HGDF,https://www.crunchbase.com/organization/hgdf,Family Investment Office,8,,"Flensburg, Schleswig-Holstein, Germany","Early Stage Venture, Seed, Venture","VC arm of the HGDF family office (investments in e.g., Queisser Pharma etc.)","European Union (EU), Europe, Middle East, and Africa (EMEA)",1738-01-01,year,https://www.hgdf.de,https://www.linkedin.com/company/hgdf-familienholding-ltd/,6,,
X Ventures,https://www.crunchbase.com/organization/x-ventures-9fce,"Accelerator, Venture Capital",8,,"Monheim, Bayern, Germany","Seed, Venture",X Ventures is an investment firm. It mission to ignite the future of education and web3.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.xventures.de,https://www.linkedin.com/company/xventuresgroup/,8,1,
New Energy Capital,https://www.crunchbase.com/organization/new-energy-capital,Private Equity Firm,8,2,"Hanover, Niedersachsen, Germany","Post-Ipo, Private Equity, Venture","New Energy Capital is focuses on providing equity to small and mid-sized projects utilizing proven clean energy, clean water, combined heat","European Union (EU), Europe, Middle East, and Africa (EMEA)",2004-01-01,year,http://www.newenergycapital.com,https://www.linkedin.com/company/new-energy-capital-/,8,5,1
DPE Deutsche Private Equity,https://www.crunchbase.com/organization/dpe-deutsche-private-equity,Private Equity Firm,8,6,"Munich, Bayern, Germany",,"DPE Deutsche Private Equity GmbH is a venture capital and private equity company based out of Ludwigstrasse 7, Munich, Bavaria, Germany.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2007-01-01,year,http://www.dpe.de,https://www.linkedin.com/company/dpe-deutsche-private-equity-gmbh/,7,4,2
Intermedia Venture,https://www.crunchbase.com/organization/intermedia-vermögensverwaltung,Corporate Venture Capital,8,,"Ludwigshafen, Rheinland-Pfalz, Germany","Late Stage Venture, Venture","Intermedia is active in the areas of Recruiting, SaaS, LegalTech, B2B Media, and Specialized Trade","European Union (EU), Europe, Middle East, and Africa (EMEA)",1991-01-01,year,http://www.intermedia-venture.de,https://www.linkedin.com/company/intermedia-venture/,3,1,
VM Capital,https://www.crunchbase.com/organization/ventizz-capital-partners,Private Equity Firm,8,3,"Düsseldorf, Nordrhein-Westfalen, Germany","Early Stage Venture, Late Stage Venture","VM Capital is a Private Equity Fund Advisor focusing on companies in areas in communication, IT as well as renewable energy.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,https://vmcap.com,,5,3,1
DB1 Ventures,https://www.crunchbase.com/organization/db1-ventures,Corporate Venture Capital,8,1,"Eschborn, Hessen, Germany",,DB1 Ventures is a venture capital and private equity firm based in Germany.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://deutsche-boerse.com/dbg-en/about-us/deutsche-boerse-group/business-areas/ventures/db1ventures-contacts,https://www.linkedin.com/company/deutscheboerse,7,6,
Investitions- und Förderbank,https://www.crunchbase.com/organization/investitions-und-förderbank,Investment Bank,8,,"Hamburg, Hamburg, Germany","Grant, Seed","IFB Hamburg is an investment institution and development bank based in Hamburg, Germany.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,https://www.ifbhh.de/,https://www.linkedin.com/company/hamburgische-investitions-und-foerderbank,8,3,
VRD GmbH,https://www.crunchbase.com/organization/vrd-gmbh-2,Family Investment Office,8,,"Heidelberg, Baden-Wurttemberg, Germany","Early Stage Venture, Late Stage Venture, Seed",They are the family office of a traditional family business.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://vrd-investment.com/,,4,3,
Blockrocket,https://www.crunchbase.com/organization/blockrocket,"Accelerator, Venture Capital",8,,"Frankfurt, Hessen, Germany","Early Stage Venture, Seed",Blockrocket is an early-stage investor in blockchain startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-07-18,day,,,8,2,
Unger Group,https://www.crunchbase.com/organization/unger,Family Investment Office,8,1,"Weiden, Bayern, Germany","Early Stage Venture, Seed",Unger Group is an investment company that invests in real estate and equity investments.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2004-01-01,year,https://unger-cm.de,,2,,
Afinum,https://www.crunchbase.com/organization/afinum,Private Equity Firm,8,2,"Munich, Bayern, Germany",Private Equity,AFINUM invests in successful mid-market companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.afinum.de/en/,https://www.linkedin.com/company/afinum,8,6,
STIHL Ventures,https://www.crunchbase.com/organization/stihl-3a10,Corporate Venture Capital,8,,"Waiblingen, Baden-Wurttemberg, Germany","Early Stage Venture, Seed",We are the corporate venture capital arm of STIHL. We invest in ambitious founders who grow with us.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://stihldigital.com/,https://www.linkedin.com/company/stihl-digital-gmbh,6,2,
CIMEDO,https://www.crunchbase.com/organization/cimedo,"Family Investment Office, Venture Capital",8,,"Frankfurt, Hessen, Germany","Early Stage Venture, Seed","CIMEDO is a holding company that focuses on corporate investments, start-ups, and real estate.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://cimedo.de/,https://www.linkedin.com/company/cimedo-gmbh/,8,,
Schürfeld Group,https://www.crunchbase.com/organization/schürfeld-group,"Family Investment Office, Venture Capital",8,,"Hamburg, Hamburg, Germany","Early Stage Venture, Seed",Schürfeld Group is a family-run investment company with traditional values.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1937-01-01,year,https://schuerfeld-group.com/en/,https://www.linkedin.com/company/sch%C3%BCrfeld-group/,8,2,
bldrs,https://www.crunchbase.com/organization/bldrs,Micro VC,8,,"Berlin, Berlin, Germany","Convertible Note, Early Stage Venture, Seed","A talent platform that connects entrepreneurial operators with breakout jobs, cofounders and their first investors.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-07-01,day,https://www.joinbldrs.com/,https://www.linkedin.com/company/joinbldrs/,8,,
Mic,https://www.crunchbase.com/organization/mic-ag,"Private Equity Firm, Venture Capital",8,1,"Munich, Bayern, Germany","Early Stage Venture, Late Stage Venture",Mic is an active investor with a mid- to long-term investment horizon.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.mic-ag.eu,https://www.linkedin.com/company/mic-ag,8,,
DocCheck Guano AG,https://www.crunchbase.com/organization/doccheck-guano-ag,Corporate Venture Capital,8,,"Cologne, Nordrhein-Westfalen, Germany",Seed,"Guano provides the ideal fertilizer for startups: capital, know-how, market access and network","European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-10-15,day,http://www.guano.ag/en/,https://www.linkedin.com/company/doccheck-guano-ag/,8,4,
DEWB,https://www.crunchbase.com/organization/dewb,Private Equity Firm,8,1,"Jena, Thuringen, Germany","Early Stage Venture, Seed",DEWB is an investment company focused on photonics and sensor systems.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1872-01-01,year,http://dewb.de/en/,https://www.linkedin.com/company/dewb/,5,2,
Initiative for Industrial Innovators,https://www.crunchbase.com/organization/initiative-for-industrial-innovators,Micro VC,8,,"München, Bayern, Germany","Early Stage Venture, Seed","Initiative for Industrial Innovators aim at funding up to 2,000 disruptive deep tech solutions until 2024.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.industrialinnovators.eu/,https://www.linkedin.com/company/industrialinnovators/,6,1,
Ventegis Capital,https://www.crunchbase.com/organization/ventegis-capital,Private Equity Firm,8,4,"Berlin, Berlin, Germany",Early Stage Venture,The Ventegis Capital AG in 2001 emerged from the merger of the Berlin AG Beteiligungsgesellschaft effect on the Cybermind AG.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.ventegis-capital.de,,6,2,
Bridge to Growth,https://www.crunchbase.com/organization/bridge-to-growth,Venture Debt,8,1,"Berlin, Berlin, Germany",Debt,Bridge To Growth is a German venture debt fund based in Berlin.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.bridge-to-growth.com,https://www.linkedin.com/company/bridgetogrowth/,6,1,
Deutsche Effecten -und Wechsel Beteiligungsgesellschaft,https://www.crunchbase.com/organization/deutsche-effecten-und-wechsel,Private Equity Firm,8,4,"Jena, Thuringen, Germany","Early Stage Venture, Late Stage Venture","Deutsche Effecten -und Wechsel Beteiligungsgesellschaft, a private equity firm based in Jena, invests in early and later stage ventures.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1997-01-01,year,https://dewb.de/,https://www.linkedin.com/company/deutsche-effecten-und-wechsel-beteiligungsgesellschaft-ag/about/,6,,1
Haufe Group Ventures,https://www.crunchbase.com/organization/haufe-group-ventures,"Corporate Venture Capital, Venture Capital",7,,"Freiburg, Baden-Wurttemberg, Germany","Convertible Note, Early Stage Venture, Seed",Haufe Group Ventures is shaping the future of the working world by investing in B2B SaaS start-ups with a corporate service focus in DACH,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2023-06-01,day,https://www.haufegroup.com/en/venture-studio,https://www.linkedin.com/company/haufe-group/?originalSubdomain=de,7,3,
capiton,https://www.crunchbase.com/organization/capiton-ag,Private Equity Firm,7,5,"Berlin, Berlin, Germany",Private Equity,"Capiton is a private equity investment firm that focuses on investing in the consumer goods, healthcare, industry and software sectors.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1999-01-01,year,https://www.capiton.com/,https://www.linkedin.com/company/capiton/,7,2,
Bayern LB,https://www.crunchbase.com/organization/bayern-lb,Investment Bank,7,1,"München, Bayern, Germany",,"Bayern LB offers business loans, credit, savings accounts and checking accounts for companies, savings banks, investors and public sectors.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1972-01-01,year,http://www.bayernlb.de,https://www.linkedin.com/company/bayerische-landesbank/,6,2,1
Hannover Finanz,https://www.crunchbase.com/organization/hannover-finanz-gmbh,Private Equity Firm,7,1,"Hanover, Niedersachsen, Germany","Private Equity, Seed, Venture","Hannover Finanz Group is a private equity firm based in Hannover, Germany.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1979-01-01,year,http://www.hannoverfinanz.de,https://www.linkedin.com/company/hannoverfinanz/,7,5,1
Allianz Capital,https://www.crunchbase.com/organization/allianz-capital,Private Equity Firm,7,2,"Munich, Bayern, Germany",Private Equity,Allianz Capital Partners GmbH is an investment arm of the Allianz SE specializing in fund of fund investments in private equity.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2006-01-01,year,http://allianzcapitalpartners.com,https://www.linkedin.com/showcase/allianzcapitalpartners,7,2,
Kalodion GmbH,https://www.crunchbase.com/organization/kalodion-gmbh,"Family Investment Office, Fund Of Funds, Private Equity Firm, Venture Capital",7,,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Secondary Market","Kalodion is a family-owned investment firm focussed on Venture Capital, Private Equity and Real Estate.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://www.kalodion.com/,https://www.linkedin.com/company/kalodion-gmbh/,7,2,
Wermuth Asset Management,https://www.crunchbase.com/organization/wermuth-asset-management,"Family Investment Office, Fund Of Funds, Venture Capital",7,1,"Berlin, Berlin, Germany",Venture,"Wermuth Asset Management is a German family office, venture capital and BaFin-regulated investment adviser.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1999-01-01,year,http://www.wermutham.com,https://www.linkedin.com/company/wermuth-asset-management/,6,4,1
2b AHEAD Ventures,https://www.crunchbase.com/organization/2b-ahead-ventures,Incubator,7,,"Leipzig, Sachsen, Germany","Early Stage Venture, Seed",2b AHEAD Ventures is an incubator and company builder.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.2bahead-ventures.com/,https://www.linkedin.com/company/2b-ahead-ventures/about/,7,4,
CHECK24 Ventures,https://www.crunchbase.com/organization/check24-ventures,"Corporate Venture Capital, Venture Capital",7,3,"Frankfurt, Hessen, Germany","Early Stage Venture, Late Stage Venture, Private Equity, Seed",CHECK24 Ventures is the venture capital division of the CHECK24 group that provides young internet companies with seed and growth financing.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-11-01,day,https://check24.vc/,https://www.linkedin.com/company/check24ventures/,7,5,
Süd Beteiligungen GmbH (Sued BG),https://www.crunchbase.com/organization/süd-beteiligungen-gmbh,Private Equity Firm,7,1,"Stuttgart, Baden-Wurttemberg, Germany",Private Equity,Süd Beteiligungen GmbH is a private equity firm focussing on the German Mittelstand,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1995-01-01,year,http://www.suedbg.de/,https://www.linkedin.com/company/s%C3%BCd-beteiligungen-gmbh/,7,1,
Asgard - human Capital for AI,https://www.crunchbase.com/organization/asgard-capital,"Family Investment Office, Venture Capital",7,1,"Potsdam, Brandenburg, Germany","Early Stage Venture, Seed, Venture",Asgard invests stage-agnostic in leading European AI companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-11-01,day,https://asgard.vc/,https://www.linkedin.com/company/asgard-capital/,5,1,
Davidson Technology Growth Debt Fund,https://www.crunchbase.com/organization/davidson-technology-growth,Venture Debt,7,4,"Berlin, Berlin, Germany",,Davidson Technology Growth Debt Fund provides debt financing to mid-late stage tech companies in Europe.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://davidson-capital.com/,https://www.linkedin.com/company/davidson-technology-growth-debt/,7,3,
Obotritia Capital,https://www.crunchbase.com/organization/obotitia-capital,"Private Equity Firm, Venture Capital",7,,"Potsdam, Brandenburg, Germany","Debt, Late Stage Venture, Post-Ipo, Seed, Venture","Obotritia Capital invests in German commercial real estate, directly and indirectly as well as venture.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.obotritia-capital.com,https://www.linkedin.com/company/obotritia-capital-kgaa,7,3,
Summiteer,https://www.crunchbase.com/organization/summiteer,"Private Equity Firm, Venture Capital",7,,"Ravensburg, Baden-Wurttemberg, Germany","Early Stage Venture, Late Stage Venture, Private Equity",Summiteer supports companies that create sustainable value through innovative business models.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.summiteer.com/,https://www.linkedin.com/company/summiteer/,7,4,
CFH Management GmbH,https://www.crunchbase.com/organization/cfh,Private Equity Firm,7,2,"Leipzig, Sachsen, Germany","Early Stage Venture, Late Stage Venture, Private Equity",CFH is an equity partner for start-ups and SMEs in Saxony with the two funds TGFS and WMS.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1995-01-01,year,http://www.cfh.de,https://www.linkedin.com/company/cfh-management-gmbh/,7,1,1
Golzern Holding GmbH,https://www.crunchbase.com/organization/golzern-holding-gmbh,"Private Equity Firm, Venture Capital",7,1,"Leipzig, Sachsen, Germany","Seed, Venture","Wir begleiten Startups auf ihrem Weg, die Welt zu verändern.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2002-01-01,year,https://www.golzern.biz,https://www.linkedin.com/company/golzern-holding-gmbh/,5,,
PANDO. Ventures,https://www.crunchbase.com/organization/pando-ventures,Accelerator,7,,"Wiesbaden, Hessen, Germany","Early Stage Venture, Seed",PANDO Ventures is a German start-up accelerator in the Rhine-Main area .,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://pando-ventures.com,https://www.linkedin.com/company-beta/7805927,7,6,
FLOOR13,https://www.crunchbase.com/organization/floor13,Private Equity Firm,7,1,"Utting, Bayern, Germany",Seed,FLOOR13 is an investment company.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.floor13.de,,6,3,
InnoWerft,https://www.crunchbase.com/organization/innowerft-technologie-und-gründerzentrum-walldorf-stiftung-gmbh,Incubator,7,1,"Walldorf, Baden-Wurttemberg, Germany",,"InnoWerft is the IT startup center for innovative startups from the high-tech, software and technology sector.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2010-12-15,day,http://www.innowerft.com/,https://www.linkedin.com/company/innowerft/,7,5,
Mittelständische Beteiligungsgesellschaft Thüringen,https://www.crunchbase.com/organization/mittelstndische-beteiligungsgesellschaft-thringen,"Private Equity Firm, Venture Capital",7,,"Erfurt-bindersleben, Thuringen, Germany","Early Stage Venture, Seed",Mittelständische Beteiligungsgesellschaft Thüringen offers small and medium-sized companies to set up  for strengthen equity.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.mbg-thueringen.de/index.php,https://www.linkedin.com/company/mbg-thueringen/?originalSubdomain=de,7,1,
High Tech Private Equity,https://www.crunchbase.com/organization/high-tech-private-equity,Private Equity Firm,7,1,"Deutsch, Sachsen, Germany","Early Stage Venture, Late Stage Venture",High Tech Private Equity provide entrepreneurs and investors with new possibilities.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.htpe.com,,4,2,
FInish Accelerator,https://www.crunchbase.com/organization/finish-accelerator,Accelerator,7,,"Bremen, Bremen, Germany",,"FInish is an accelerator, marking the last phase of the Future Internet Programme.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.finish-project.eu/,,7,6,
be-exponential,https://www.crunchbase.com/organization/be10x-capital,Private Equity Firm,7,,"Leipzig, Sachsen, Germany",,"be-exponential invests in start-ups with focus on B2B, Mobility, Energy and Enterprise SaaS.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-01-01,month,https://www.be-exponential.com,https://www.linkedin.com/company/be-exponential-gmbh,7,,
S-Kap Unternehmensbeteiligungs,https://www.crunchbase.com/organization/s-kap-unternehmensbeteiligungs,"Private Equity Firm, Venture Capital",7,2,"Pforzheim, Baden-Wurttemberg, Germany","Seed, Venture",S-Cape Beteiligungsgesellschaft is a private equity firm offering financing to startups and entrepreneurs seeking an investment.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.s-kap.de,,5,,
Slamdunk Capital,https://www.crunchbase.com/organization/slamdunk-capital,Angel Group,7,2,"Berlin, Berlin, Germany",,Slamdunk Capital is a Berlin-based angel investment fund focused on internet and technology-driven companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.slamdunk-capital.com,,7,,
LANXESS,https://www.crunchbase.com/organization/lanxess,Micro VC,6,3,"Cologne, Nordrhein-Westfalen, Germany",Early Stage Venture,LANXESS is a specialty chemicals company.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2004-01-01,year,http://lanxess.com/en/corporate/home,https://www.linkedin.com/company/164682,5,3,3
Bregal Unternehmerkapital,https://www.crunchbase.com/organization/bregal-unternehmerkapital,"Family Investment Office, Private Equity Firm",6,,"München, Bayern, Germany",Private Equity,"Bregal Unternehmerkapital is a private equity firm that invests in the automotive, industrial goods, healthcare and e-commerce sectors.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.bregal.de,https://www.linkedin.com/company/bregal-unternehmerkapital-gmbh/,5,4,
Zwei.7,https://www.crunchbase.com/organization/zwei-7,"Family Investment Office, Private Equity Firm, Venture Capital",6,,"Osnabrück, Niedersachsen, Germany","Early Stage Venture, Seed",Zwei.7 is a family office and investment company that acquires interests in medium-sized enterprises.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.zweipunkt7.com,https://www.linkedin.com/company/zwei-7-holding-gmbh/,5,3,
Lufthansa Innovation Hub,https://www.crunchbase.com/organization/lufthansa-innovation-hub,Corporate Venture Capital,6,,"Berlin, Berlin, Germany",,Innovation Hub of Lufthansa Group,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-07-01,month,https://lh-innovationhub.de,https://www.linkedin.com/company/lufthansa-innovation-hub/,4,,
resolution Reichert Network Solutions GmbH,https://www.crunchbase.com/organization/resolution-2,"Accelerator, Corporate Venture Capital",6,1,"Zweibrücken, Rheinland-Pfalz, Germany","Early Stage Venture, Seed, Venture","resolution is a vendor in the Atlassian & monday.com marketplaces, as well as an investor in various SaaS businesses.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1998-10-01,month,https://www.resolution.de,https://www.linkedin.com/company/resolution-gmbh,5,6,
Willendorff Technologies,https://www.crunchbase.com/organization/willendorff-technologies-gmbh,"Angel Group, Family Investment Office, Venture Capital",6,,"Munich, Bayern, Germany","Early Stage Venture, Late Stage Venture, Seed",Willendorff provides seed-stage funding to B2B-Technology companies that have the potential to transform their industry.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.willendorff.com,https://www.linkedin.com/company/willendorff-technologies-gmbh,6,6,
Chemovator,https://www.crunchbase.com/organization/chemovator,"Incubator, Venture Capital",6,,"Mannheim, Baden-Wurttemberg, Germany","Early Stage Venture, Seed",Chemovator is an incubator of chemistry businesses.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://chemovator.com/,https://www.linkedin.com/company/chemovator-gmbh/,5,1,
SFO,https://www.crunchbase.com/organization/sfo-c16e,"Family Investment Office, Venture Capital",6,,"Weingarten, Baden-Wurttemberg, Germany","Early Stage Venture, Seed, Venture",SFO is a partnership of entrepreneurs from the start-up environment and medium-sized companies,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-01-01,year,https://www.sfo.vc/,,5,1,
iVentureCapital,https://www.crunchbase.com/organization/iventurecapital,Micro VC,6,1,"Hamburg, Hamburg, Germany",Seed,"iVentureCapital is a digital production of online portals, mobile apps, and online games, and providing marketing services.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-01-01,year,http://www.iventurecapital.com,http://www.linkedin.com/company/2490519,6,4,
Auden,https://www.crunchbase.com/organization/auden,Private Equity Firm,6,1,"Berlin, Berlin, Germany",,Auden invests in carefully selected start-up ventures within its local region.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://www.auden-ag.com,,6,2,1
Mulligan BioCapital,https://www.crunchbase.com/organization/mulligan-biocapital,"Micro VC, Venture Capital",6,3,"Hamburg, Hamburg, Germany",Late Stage Venture,Mulligan BioCapital is an investment firm dedicated to the life sciences with a specific focus on biotechnology with health care,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.mulliganbio.com,,5,,1
Segenia Capital,https://www.crunchbase.com/organization/segenia-capital,"Corporate Venture Capital, Fund Of Funds, Venture Capital",6,,"Frankfurt, Hessen, Germany",Early Stage Venture,Venture Capital as a Service,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://segeniacapital.com/,https://www.linkedin.com/company/segeniacapital/,5,1,
Engelhardt Kaupp Kiefer,https://www.crunchbase.com/organization/ekkub-dr-engelhardt-kiefer-kaupp-unternehmensbeteiligungen,"Angel Group, Private Equity Firm",6,,"Stuttgart, Baden-Wurttemberg, Germany",Early Stage Venture,"Engelhardt Kaupp Kiefer is a private equity firm based in Stuttgart, Germany.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2001-01-01,year,https://www.ekkco.de,,6,2,
Mercura Capital,https://www.crunchbase.com/organization/mercura-capital,Family Investment Office,6,1,"Muenchen, Bayern, Germany",,Mercura Capital business includes holding and owning securities of companies other than banks.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,,,3,2,
EyeFocus Accelerator,https://www.crunchbase.com/organization/eyefocus-accelerator,Accelerator,6,,"Berlin, Berlin, Germany",Seed,"EyeFocus is an acceleration program for companies producing products for preventing, curing, and living with eye disease and blindness.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.eyefocus.co,https://www.linkedin.com/company/5376258?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-2%2CtarId%3A1434105631950%2Ctas%3Aeyefoc,6,,
Schauenburg Ventures GmbH,https://www.crunchbase.com/organization/schauenburg-ventures-gmbh,"Family Investment Office, Venture Capital",6,,"Mülheim An Der Ruhr, Nordrhein-Westfalen, Germany","Early Stage Venture, Seed","Schauenburg Ventures is an international investment company, investing in eraly stage and seed phases.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://schauenburg-international.com/,https://www.linkedin.com/company/schauenburg-ventures,5,,
WEGVISOR,https://www.crunchbase.com/organization/wegvisor,"Angel Group, Private Equity Firm",6,1,"Neukirchen, Sachsen, Germany","Early Stage Venture, Seed","We effectively support start-ups through early-stage capital, network, know-how, follow-up financing and personality development.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.wegvisor.de,https://www.linkedin.com/company/wegvisor/,5,2,
Coreo AG,https://www.crunchbase.com/organization/nanostart,Private Equity Firm,6,1,"Frankfurt, Hessen, Germany",,"Coreo AG is based in Frankfurt, Germany, and is an investment company that caters to nanotechnology companies.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2003-01-01,year,https://coreo.de,,5,1,
Haspa BGM,https://www.crunchbase.com/organization/haspa-bgm,Private Equity Firm,6,3,"Hamburg, Hamburg, Germany",,Haspa BGM is one of the private equity investors in Northern Germany.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1998-01-01,year,http://www.haspa-bgm.de/,https://www.linkedin.com/company/haspa-beteiligungsgesellschaft-f%C3%BCr-den-mittelstand-mbh/,6,,
Inncubator Investments,https://www.crunchbase.com/organization/inncubator-investments-gmbh,Incubator,6,1,"Köln, Nordrhein-Westfalen, Germany","Early Stage Venture, Seed","Inncubator Investments is a venture capital firm based in Cologne, Germany.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2004-01-01,year,http://inncubator.de/,https://www.linkedin.com/company/inncubator-investments/,6,3,
