Transaction Name,Transaction Name URL,Acquiree Headquarters Location,Acquiree Name,Acquiree Name URL,Acquirer Name,Acquirer Name URL,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,Price,Price Currency,Price (in USD),Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree's Website,Acquiree Headquarters Regions,Acquiree's Estimated Revenue Range,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquiree's Total Funding Amount,Acquiree's Total Funding Amount Currency,Acquiree's Total Funding Amount (in USD),Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer Headquarters Regions,Acquirer's Website,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer's Total Funding Amount Currency,Acquirer's Total Funding Amount (in USD),Acquirer Funding Status,Acquirer's Number of Funding Rounds,CB Rank (Acquisition)
Lamudi acquired by Dubizzle Group,https://www.crunchbase.com/acquisition/emerging-markets-property-group-empg-acquires-lamudi-2--fb60df13,"Berlin, Berlin, Germany",Lamudi,https://www.crunchbase.com/organization/lamudi-2,Dubizzle Group,https://www.crunchbase.com/organization/emerging-markets-property-group-empg,2020-05-12,day,Acquisition,,,,,Lamudi is a global online real estate platform serving emerging market.,Corporate Round,"Commercial Real Estate, E-Commerce, Internet, Real Estate",https://www.lamudi.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,4,56400000,USD,56400000,Dubizzle Group operates classifieds portals in emerging markets.,"Classifieds, Marketplace, Online Portals","Dubai, Dubai, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",https://www.dubizzlegroup.com,,479000000,USD,479000000,Private Equity,6,"149,126"
Lana Labs acquired by Appian,https://www.crunchbase.com/acquisition/appian-acquires-lana-labs--8bf81e3a,"Berlin, Berlin, Germany",Lana Labs,https://www.crunchbase.com/organization/lana-labs,Appian,https://www.crunchbase.com/organization/appian,2021-08-05,day,Acquisition,,,,,Lana Labs is a leading SaaS process mining company.,Seed,"Analytics, Data Mining, Information Technology, SaaS, Software",https://lanalabs.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,1,,,,"Appian is a software company that provides digital transformation, low-code application development, and business process management.","Business Process Automation (BPA), Data Management, Developer Tools, Enterprise Software, InsurTech, Robotic Process Automation (RPA), Software","Mclean, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",http://www.appian.com,$100M to $500M,47499994,USD,47499994,IPO,2,"44,810"
lawpilots acquired by Flex Capital,https://www.crunchbase.com/acquisition/flex-capital-acquires-lawpilots--d685f4ce,"Berlin, Berlin, Germany",lawpilots,https://www.crunchbase.com/organization/lawpilots,Flex Capital,https://www.crunchbase.com/organization/flex-capital,2023-06-06,day,Acquisition,,,,,lawpilots is an online training and digital education service provider that aims to equip all employees for the legal problems.,,E-Learning,https://www.lawpilots.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,Flex Capital is an investment firm that invests in early-stage companies that helps to grow their businesses.,"Finance, Financial Services, Venture Capital","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",https://www.flexcapital.com/,Less than $1M,,,,,,"20,558"
Layer acquired by Sheetgo,https://www.crunchbase.com/acquisition/sheetgo-acquires-layer-3c42--2af26908,"Berlin, Berlin, Germany",Layer,https://www.crunchbase.com/organization/layer-3c42,Sheetgo,https://www.crunchbase.com/organization/sheetgo,2023-08-01,day,,,,,,We are building the connective tissue for spreadsheets.,Seed,"Information Technology, SaaS, Software",https://golayer.io,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,3,6738408,USD,6738408,"Sheetgo is a cloud-based, no-code automation tool for spreadsheets.","Business Intelligence, Database, Enterprise Resource Planning (ERP), Productivity Tools, SaaS, Software","Valencia, Comunidad Valenciana, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.sheetgo.com,Less than $1M,3239952,USD,3239952,Seed,7,"147,721"
Layer AI acquired by Protect AI,https://www.crunchbase.com/acquisition/protect-ai-acquires-layer-ai--312098e6,"Berlin, Berlin, Germany",Layer AI,https://www.crunchbase.com/organization/layer-ai,Protect AI,https://www.crunchbase.com/organization/protect-ai,2024-01-31,day,Acquisition,,,,,Layer AI is a provider of a security solution enhancing the security of LLM interactions.,,"Artificial Intelligence (AI), Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Protect AI offers a cybersecurity platform that specializes in protecting machine learning models and artificial intelligence systems.,"Artificial Intelligence (AI), Cyber Security, Machine Learning, Security, Software","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",https://www.deepkeep.ai,$1M to $10M,108500000,USD,108500000,Early Stage Venture,3,"24,538"
Legal One GmbH acquired by rightmart GmbH (rightmart Group),https://www.crunchbase.com/acquisition/rightmart-acquires-legalone-inc--efc0729c,"Berlin, Berlin, Germany",Legal One GmbH,https://www.crunchbase.com/organization/legalone-inc,rightmart GmbH (rightmart Group),https://www.crunchbase.com/organization/rightmart,2023-09-25,day,Merger,,,,,"Legal One is an agency for software development, marketing and content.",,"Information Services, Information Technology, Legal Tech, Software",https://legal.one/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,Rightmart Group is a vertically integrated platform for providing legal services from law firms to customers.,"Information Technology, Internet, Legal, Legal Tech, Software","Bremen, Bremen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://rightmart.group,,37900000,EUR,42577555,Early Stage Venture,4,"74,935"
LemonOne acquired by BOOM,https://www.crunchbase.com/acquisition/boom-image-studio-acquires-lemonone--f228e0c2,"Berlin, Berlin, Germany",LemonOne,https://www.crunchbase.com/organization/lemonone,BOOM,https://www.crunchbase.com/organization/boom-image-studio,2022-06-13,day,Acquisition,,,,,Providing companies with visuals that make customers buy,Venture - Series Unknown,"E-Commerce Platforms, Photography",https://www.lemonone.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,3,,,,BOOM is a photo-tech startup that provides on-demand photographic solutions at scale for clients in over 80 countries.,"Computer Vision, Photography, Real Estate","Milano, Lombardia, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.boom.co,$1M to $10M,18500000,USD,18500000,,4,"145,572"
LemonOne acquired by BOOM,https://www.crunchbase.com/acquisition/boom-image-studio-acquires-lemonone--016c1fcf,"Berlin, Berlin, Germany",LemonOne,https://www.crunchbase.com/organization/lemonone,BOOM,https://www.crunchbase.com/organization/boom-image-studio,2022-06-01,month,,,,,,Providing companies with visuals that make customers buy,Venture - Series Unknown,"E-Commerce Platforms, Photography",https://www.lemonone.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,3,,,,BOOM is a photo-tech startup that provides on-demand photographic solutions at scale for clients in over 80 countries.,"Computer Vision, Photography, Real Estate","Milano, Lombardia, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.boom.co,$1M to $10M,18500000,USD,18500000,,4,"109,069"
Levy&Frey acquired by klaeny,https://www.crunchbase.com/acquisition/klaeny-acquires-levy-frey--c37b41ea,"Berlin, Berlin, Germany",Levy&Frey,https://www.crunchbase.com/organization/levy-frey,klaeny,https://www.crunchbase.com/organization/klaeny,2022-10-18,day,Acquisition,,,,,Levy&Frey produces sustainable home spa and encourages clean beauy.,,"Organic, Wellness",http://levyandfrey.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Sustainable household cleaning DTC brand,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://klaeny.de/,Less than $1M,,,,Seed,1,"33,858"
LEXTA acquired by Accenture,https://www.crunchbase.com/acquisition/accenture-acquires-lexta--b6d4ae1b,"Berlin, Berlin, Germany",LEXTA,https://www.crunchbase.com/organization/lexta,Accenture,https://www.crunchbase.com/organization/accenture,2021-08-02,day,Acquisition,,,,,"LEXTA stands for successful consultant projects concerning IT benchmarking, IT sourcing, IT strategy, IT governance and many IT concerns.",,,https://www.lexta.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"Accenture is a professional services company that provides solutions in strategy, consulting, digital, technology and operations.","Business Information Systems, Construction, Consulting, Information Services, Information Technology, Infrastructure, Management Consulting, Outsourcing","Dublin, Dublin, Ireland","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.accenture.com,$10B+,6000000,USD,6000000,M&A,1,"19,213"
LIFTE H2 acquired by PX Group,https://www.crunchbase.com/acquisition/px-group-acquires-lifte-h2-6635--16fa9708,"Berlin, Berlin, Germany",LIFTE H2,https://www.crunchbase.com/organization/lifte-h2-6635,PX Group,https://www.crunchbase.com/organization/px-group,2024-04-09,day,Acquisition,,,,,LIFTE H2 is a one-stop shop for hydrogen engineering solutions.,,"Manufacturing, Renewable Energy",https://lifteh2.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,PX group is a fully integrated infrastructure solutions business.,"Energy, Oil and Gas","Stockton-on-tees, Stockton-on-Tees, United Kingdom","Europe, Middle East, and Africa (EMEA)",http://www.pxlimited.com/,,,,,M&A,,"13,692"
LightTag acquired by Primer,https://www.crunchbase.com/acquisition/primer-7cbe-acquires-lighttag--8546cb75,"Berlin, Berlin, Germany",LightTag,https://www.crunchbase.com/organization/lighttag,Primer,https://www.crunchbase.com/organization/primer-7cbe,2022-02-16,day,Acquisition,,,,,LightTag is a new startup that has developed a platform designed to assist data scientists in creating training data for their AI systems. ,,"Analytics, Artificial Intelligence (AI), Developer Platform, Developer Tools, Information Technology, Machine Learning, Software",https://lighttag.io,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,Primer develops a text analytics solution designed to automate the analysis of textual data.,"Analytics, Artificial Intelligence (AI), Big Data, Data Visualization, Machine Learning, Natural Language Processing","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",https://primer.ai,$1M to $10M,237049995,USD,237049995,Late Stage Venture,8,"156,389"
LionsHome acquired by Waterland Private Equity,https://www.crunchbase.com/acquisition/waterland-acquires-lionshome--debceb7f,"Berlin, Berlin, Germany",LionsHome,https://www.crunchbase.com/organization/lionshome,Waterland Private Equity,https://www.crunchbase.com/organization/waterland,2022-02-10,day,Merger,,,,,LionsHome is an online product comparison platform for furnishing and beautiful living.,,,https://www.lionshome.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Waterland Private Equity is an investment group that supports entrepreneurs in realising their growth ambitions.,"Angel Investment, Asset Management, Financial Services","Bussum, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.waterland.nu,,,,,,,"110,524"
Lizard Brain acquired by Appfire Technologies,https://www.crunchbase.com/acquisition/appfire-acquires-lizard-brain--6a1d4bc2,"Berlin, Berlin, Germany",Lizard Brain,https://www.crunchbase.com/organization/lizard-brain,Appfire Technologies,https://www.crunchbase.com/organization/appfire,2021-05-05,day,Acquisition,,,,,Lizard Brain provide software as a service solutions for businesses.,,"Apps, Developer Platform, SaaS, Software",https://lizardbrain.rocks/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,,,,,Appfire is a provider of Atlassian enterprise products and services.,"Enterprise Applications, Enterprise Software, Information Technology, Software","Burlington, Massachusetts, United States","Greater Boston Area, East Coast, New England",https://www.appfire.com/,$100M to $500M,149000000,USD,149000000,Private Equity,2,"51,964"
LLA Instruments acquired by Tibidabo Scientific Industries,https://www.crunchbase.com/acquisition/tibidabo-scientific-industries-acquires-lla-instruments--740e1231,"Berlin, Berlin, Germany",LLA Instruments,https://www.crunchbase.com/organization/lla-instruments,Tibidabo Scientific Industries,https://www.crunchbase.com/organization/tibidabo-scientific-industries,2023-11-13,day,Acquisition,,,,,"LLA Instruments develops, manufactures, and supplies imaging spectral analysis measurement technology and hyperspectral cameras.",,"Electronics, Manufacturing, Product Design, Supply Chain Management, Test and Measurement",https://www.lla-instruments.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,,,,,"Tibidabo Scientific Industries Inc. Supplier of technological products for scientific research, aerospace, and industrial markets.","Electronics, Manufacturing","Dublin, Dublin, Ireland","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.tibidaboscientific.com,,,,,,,"22,042"
Lofelt acquired by Meta,https://www.crunchbase.com/acquisition/facebook-acquires-lofelt--43c95995,"Berlin, Berlin, Germany",Lofelt,https://www.crunchbase.com/organization/lofelt,Meta,https://www.crunchbase.com/organization/facebook,2022-09-02,day,Acquisition,,,,,Lofelt is developing next-generation haptic technology for use in a range of products.,Series A,"Consumer Electronics, Hardware",https://lofelt.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,6,6745373,USD,6745373,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.","Artificial Intelligence (AI), Augmented Reality, Metaverse, Social Media, Social Network, Virtual Reality","Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",https://www.meta.com,$10B+,25607817488,USD,25607817488,IPO,15,"80,352"
Lucanet acquired by Hg,https://www.crunchbase.com/acquisition/hgcapital-acquires-lucanet--bca25e54,"Berlin, Berlin, Germany",Lucanet,https://www.crunchbase.com/organization/lucanet,Hg,https://www.crunchbase.com/organization/hgcapital,2022-04-11,day,Acquisition,Stock,,,,Global SaaS platform with integrated solutions for the office of the CFO.,Venture - Series Unknown,"Financial Services, Information Services, Information Technology, Software",http://www.lucanet.com/en,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,1,,,,"Hg is a private equity firm that invests in financial services, healthcare, information technology, and software industries.","Finance, Financial Services, Venture Capital","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",http://www.hgcapital.com,$100M to $500M,,,,,,"10,263"
Luvent Consulting acquired by Chemonics,https://www.crunchbase.com/acquisition/chemonics-acquires-luvent-consulting--d2706ecf,"Berlin, Berlin, Germany",Luvent Consulting,https://www.crunchbase.com/organization/luvent-consulting,Chemonics,https://www.crunchbase.com/organization/chemonics,2024-11-05,day,Acquisition,,,,,"Luvent Consulting specializes in investment analysis, business development, capacity development, advice, and consulting services.",,"Advice, Consulting, Professional Services",https://www.luvent-consulting.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,,,,,Chemonics is a sustainable development company.,Health Care,"Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",http://www.chemonics.com,$100M to $500M,,,,,,"2,795"
Lykon acquired by Lifesum,https://www.crunchbase.com/acquisition/lifesum-acquires-vimeda--e078eb1e,"Berlin, Berlin, Germany",Lykon,https://www.crunchbase.com/organization/vimeda,Lifesum,https://www.crunchbase.com/organization/lifesum,2024-06-19,day,Acquisition,,,,,Lykon is an innovative health care company that provides digital health coaching based on Biomarker analysis. ,Venture - Series Unknown,"Health Care, Internet",https://www.lykon.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,5,18900000,EUR,20474582,Lifesum is a Swedish digital health startup that helps clients become healthier by using applied psychology and technology.,"Fitness, Health Care, Internet, Mobile, Personal Health","Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",http://lifesum.com,$10M to $50M,21700000,USD,21700000,Late Stage Venture,3,"3,269"
Madvertise acquired by Azerion,https://www.crunchbase.com/acquisition/azerion-acquires-madvertise--c6549fa0,"Berlin, Berlin, Germany",Madvertise,https://www.crunchbase.com/organization/madvertise,Azerion,https://www.crunchbase.com/organization/azerion,2022-07-05,day,Acquisition,Cash & Stock,11300000,EUR,11590148,Madvertise is a mobile advertising company providing location-based interactive campaigns for mobile apps and websites.,Post-IPO Equity,"Advertising, Apps, Mobile, Mobile Advertising",http://www.madvertise.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,5,10000000,USD,10000000,"Azerion is a media- and technology company that provides safe, reliable and valuable content on a European scale with local presence.",Media and Entertainment,"Schiphol, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.azerion.com/,$500M to $1B,253000000,EUR,271198648,IPO,6,"24,582"
Makerist acquired by fabfab GmbH,https://www.crunchbase.com/acquisition/fabfab-gmbh-acquires-makerist--3a8e2ba3,"Berlin, Berlin, Germany",Makerist,https://www.crunchbase.com/organization/makerist,fabfab GmbH,https://www.crunchbase.com/organization/fabfab-gmbh,2020-03-05,day,Acquisition,,,,,Makerist is a DIY and handicraft platform.,Series B,"Art, E-Commerce, E-Commerce Platforms, Fashion",http://www.makerist.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,5000000,EUR,5443066,"In 2003, fabfab revolutionized the market with the idea of ​​selling fabrics over the Internet. This was the starting point of stoffe.de.","DIY, E-Commerce",,,https://fabfab.com/en/,Less than $1M,,,,,2,"156,677"
Makerist acquired by The Creative Club,https://www.crunchbase.com/acquisition/the-creative-club-acquires-makerist--d03ae17a,"Berlin, Berlin, Germany",Makerist,https://www.crunchbase.com/organization/makerist,The Creative Club,https://www.crunchbase.com/organization/the-creative-club,2020-03-01,month,Acquisition,,15000000,USD,15000000,Makerist is a DIY and handicraft platform.,Series B,"Art, E-Commerce, E-Commerce Platforms, Fashion",http://www.makerist.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,5000000,EUR,5443066,The Creative Club is Europe’s leading digital company on the Do-It-Yourself market.,"DIY, E-Commerce","Schenefeld, Schleswig-Holstein, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://thecreativeclub.com/,,11500000,EUR,13639123,Private Equity,2,"48,687"
Mapify acquired by HomeToGo,https://www.crunchbase.com/acquisition/hometogo-acquires-mapify--9abb2569,"Berlin, Berlin, Germany",Mapify,https://www.crunchbase.com/organization/mapify,HomeToGo,https://www.crunchbase.com/organization/hometogo,2021-06-03,day,Acquisition,,,,,Mapify is a social marketplace for travel experiences that connects travelers around the world through past and ongoing journeys.,Seed,"Adventure Travel, Apps, Internet, Social Network, Travel, Travel Accommodations",https://mapify.travel,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,1300000,USD,1300000,HomeToGo is a marketplace with the world's largest selection of vacation rentals,"Marketplace, Travel, Vacation Rental","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.hometogo.com/,$100M to $500M,176652718,USD,176652718,IPO,6,"169,485"
Medical One acquired by Qunomedical,https://www.crunchbase.com/acquisition/junomedical-acquires-medical-one--a4c8fc6f,"Berlin, Berlin, Germany",Medical One,https://www.crunchbase.com/organization/medical-one,Qunomedical,https://www.crunchbase.com/organization/junomedical,2021-02-17,day,Acquisition,,,,,"Medical One is the clinic groups for plastic and aesthetic medicine, the slimming with the gastric balloon and hair transplantation.",,"Hospital, Medical",https://www.medical-one.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,Qunomedical is a healthcare company that connects patients with doctors in abroad.,"Health Care, Health Diagnostics, Medical","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.qunomedical.com,$10M to $50M,12310979,USD,12310979,Early Stage Venture,6,"47,562"
Medical Technology Rostock acquired by SHS Capital,https://www.crunchbase.com/acquisition/shs-gesellschaft-fr-beteiligungsmanagement-mbh-acquires-medical-technology-rostock--26b4ea9d,"Berlin, Berlin, Germany",Medical Technology Rostock,https://www.crunchbase.com/organization/medical-technology-rostock,SHS Capital,https://www.crunchbase.com/organization/shs-gesellschaft-fr-beteiligungsmanagement-mbh,2024-11-26,day,Acquisition,,,,,"Medical Technology Rostock supplies erection aids, compression, and electrotherapy devices.",,"Health Care, Medical Device, Wholesale",https://www.mtronline.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,SHS is an independent private equity company focus on investments in the MedTech and Life Sciences sectors.,"Analytics, Finance, Financial Services, Venture Capital","Tübingen, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.shs-capital.eu,,,,,,,949
Medlanes acquired by ZAVA,https://www.crunchbase.com/acquisition/dred-online-doctor-acquires-medlanes--853e801a,"Berlin, Berlin, Germany",Medlanes,https://www.crunchbase.com/organization/medlanes,ZAVA,https://www.crunchbase.com/organization/dred-online-doctor,2020-12-31,day,,,,,,"Medlanes brings medicine online, building the first contact point to healthcare on the internet.",Series A,"Health Care, Health Diagnostics, Home Health Care, Medical, mHealth, Personal Health, Software",http://www.medlanes.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,5,,,,"Zava is an app that offers online doctor, pharmacy consultations, diagnostics, and medication services.","Fitness, Health Care, Health Diagnostics, mHealth, Wellness","Dublin, Dublin, Ireland","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.zavamed.com,$1B to $10B,33701514,USD,33701514,Early Stage Venture,3,"102,929"
Meelogic Consulting acquired by GlobalLogic,https://www.crunchbase.com/acquisition/globallogic-acquires-meelogic-consulting--93145fa7,"Berlin, Berlin, Germany",Meelogic Consulting,https://www.crunchbase.com/organization/meelogic-consulting,GlobalLogic,https://www.crunchbase.com/organization/globallogic,2020-04-07,day,Acquisition,,,,,Meelogic Consulting is a Germany-based software engineering services firm with deep expertise in Healthcare.,,Information Technology,https://www.meelogic.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,GlobalLogic is a product development services company that specializes in chip-to-cloud software engineering.,"Developer Platform, Information Technology, Product Design, Software","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",http://www.globallogic.com,$1B to $10B,43696000,USD,43696000,M&A,4,"152,681"
Meetrics acquired by DoubleVerify,https://www.crunchbase.com/acquisition/doubleverify-acquires-meetrics--068fb579,"Berlin, Berlin, Germany",Meetrics,https://www.crunchbase.com/organization/meetrics,DoubleVerify,https://www.crunchbase.com/organization/doubleverify,2021-08-30,day,Acquisition,Cash,25330000,USD,25330000,"Meetrics is a company for technical solutions, which increase media quality and the effectiveness of digital branding campaigns.",Venture - Series Unknown,"Advertising, Digital Marketing, Marketing, Software",https://www.meetrics.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,3,1300000,USD,1300000,DoubleVerify is a software platform that specializes in digital media verification and advertising technology.,"Advertising, Analytics, Brand Marketing, Digital Marketing, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",http://www.doubleverify.com,$500M to $1B,957625000,USD,957625000,M&A,7,"71,550"
MeinDentist acquired by Medicover,https://www.crunchbase.com/acquisition/medicover-acquires-meindentist--3ded9879,"Berlin, Berlin, Germany",MeinDentist,https://www.crunchbase.com/organization/meindentist,Medicover,https://www.crunchbase.com/organization/medicover,2022-06-02,day,Acquisition,,,,,MeinDentist provides dental services.,,"Dental, Health Care",https://meindentist.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Medicover is an international healthcare and diagnostic services provider.,"Health Care, Hospital","Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",https://www.medicover.com/,$500M to $1B,475548266,USD,475548266,,2,"17,450"
Mermaid + Me acquired by GRENION Group,https://www.crunchbase.com/acquisition/grenion-group-acquires-mermaid-me--e42d044a,"Berlin, Berlin, Germany",Mermaid + Me,https://www.crunchbase.com/organization/mermaid-me,GRENION Group,https://www.crunchbase.com/organization/grenion-group,2022-12-01,day,Acquisition,,,,,"Mermaid + Me is natural + vegan hair care, inspired by the secrets of the oceans and tropical superfoods.",Undisclosed,"E-Commerce, Retail",https://www.mermaidme.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,,,,Grenion is a platform for brand building that offers beauty and wellness products.,"Beauty, Health Care, Venture Capital","Mannheim, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://grenion.com/,,,,,Seed,1,"167,374"
Mermaid + Me acquired by Henkel,https://www.crunchbase.com/acquisition/henkel-acquires-mermaid-me--63c8e89e,"Berlin, Berlin, Germany",Mermaid + Me,https://www.crunchbase.com/organization/mermaid-me,Henkel,https://www.crunchbase.com/organization/henkel,2020-07-31,day,Acquisition,,,,,"Mermaid + Me is natural + vegan hair care, inspired by the secrets of the oceans and tropical superfoods.",Undisclosed,"E-Commerce, Retail",https://www.mermaidme.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,,,,"Henkel leads with innovations, brands, and technologies to create sustainable value.","Beauty, Cleaning Products, Consumer, Fast-Moving Consumer Goods, Personal Care and Hygiene","Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.henkel.com,$10B+,,,,IPO,,"43,620"
Mietwagen24 acquired by EasyTerra,https://www.crunchbase.com/acquisition/easyterra-acquires-mietwagen24--eb92175e,"Berlin, Berlin, Germany",Mietwagen24,https://www.crunchbase.com/organization/mietwagen24,EasyTerra,https://www.crunchbase.com/organization/easyterra,2023-07-01,day,Acquisition,Cash,,,,Mietwagen24 is a web portal that helps to compare the prices of cars and vans in multiple locations and provides direct booking.,,"Automotive, Price Comparison, Rental, Transportation",https://www.mietwagen24.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,EasyTerra Car Rental is an independent company dedicated to online car rental price comparison.,"Automotive, Rental","Leeuwarden, Friesland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.easyterra.com,,,,,,,"169,614"
Mirabelle-Care acquired by AUCTUS Capital Partners,https://www.crunchbase.com/acquisition/auctus-capital-partners-acquires-mirabelle-care--ef9b4064,"Berlin, Berlin, Germany",Mirabelle-Care,https://www.crunchbase.com/organization/mirabelle-care,AUCTUS Capital Partners,https://www.crunchbase.com/organization/auctus-capital-partners,2020-11-16,day,Leveraged Buyout,,,,,Mirabelle-Care is a nursing home operator.,,"Elder Care, Health Care, Nursing and Residential Care",https://www.mirabelle-care.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,AUCTUS Capital Partners is founded by entrepreneurs independent.,"Finance, Financial Services, Real Estate","Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.auctus.com,,,,,,,"127,277"
Miss Sophie's acquired by Wilde Cosmetics,https://www.crunchbase.com/acquisition/wilde-cosmetics-acquires-miss-sophie-s--44d14a20,"Berlin, Berlin, Germany",Miss Sophie's,https://www.crunchbase.com/organization/miss-sophie-s,Wilde Cosmetics,https://www.crunchbase.com/organization/wilde-cosmetics,2023-04-04,day,Acquisition,,,,,Miss Sophie's is an online cosmetic shop for nail paints and accessories.,,"Cosmetics, E-Commerce, Women's",http://miss-sophies.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"Wilde Cosmetics is a supplier of cosmetics and care products for hand, nail, foot and body care.","Beauty, Cosmetics, Wholesale","Oestrich, Hessen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.wilde-group.com,$10M to $50M,,,,,,"20,549"
