Transaction Name,Transaction Name URL,Acquiree Headquarters Location,Acquiree Name,Acquiree Name URL,Acquirer Name,Acquirer Name URL,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,Price,Price Currency,Price (in USD),Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree's Website,Acquiree Headquarters Regions,Acquiree's Estimated Revenue Range,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquiree's Total Funding Amount,Acquiree's Total Funding Amount Currency,Acquiree's Total Funding Amount (in USD),Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer Headquarters Regions,Acquirer's Website,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer's Total Funding Amount Currency,Acquirer's Total Funding Amount (in USD),Acquirer Funding Status,Acquirer's Number of Funding Rounds,CB Rank (Acquisition)
Apryl acquired by Progyny,https://www.crunchbase.com/acquisition/progyny-acquires-oviavo--d4b2b97c,"Berlin, Berlin, Germany",Apryl,https://www.crunchbase.com/organization/oviavo,Progyny,https://www.crunchbase.com/organization/progyny,2024-06-24,day,Acquisition,,,,,Apryl is a fertility benefits platform that helps in overcoming inequality.,Non-equity Assistance,"Health Care, Medical, Wellness",https://apryl.co/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,4,4100000,EUR,4306497,Progyny is a fertility benefits management company.,"Fertility, Health Care, Medical","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",https://www.progyny.com/,$10M to $50M,115549451,USD,115549451,IPO,10,"5,103"
Arxes-Tolina GmbH acquired by Waterland Private Equity,https://www.crunchbase.com/acquisition/waterland-acquires-arxes-tolina-gmbh--a4a36823,"Berlin, Berlin, Germany",Arxes-Tolina GmbH,https://www.crunchbase.com/organization/arxes-tolina-gmbh,Waterland Private Equity,https://www.crunchbase.com/organization/waterland,2021-01-07,day,Acquisition,,,,,"Arxes-Tolina GmbH offers state-of-the-art technology solutions in the fields of engineering, IT, software and consulting. ",Grant,"Consulting, Information Technology, Software, Software Engineering",https://www.arxes-tolina.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,1,1101915,EUR,1171176,Waterland Private Equity is an investment group that supports entrepreneurs in realising their growth ambitions.,"Angel Investment, Asset Management, Financial Services","Bussum, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.waterland.nu,,,,,,,"112,660"
Asaphus Vision acquired by Seeing Machines,https://www.crunchbase.com/acquisition/seeing-machines-acquires-asaphus-vision--f4c3dd37,"Berlin, Berlin, Germany",Asaphus Vision,https://www.crunchbase.com/organization/asaphus-vision,Seeing Machines,https://www.crunchbase.com/organization/seeing-machines,2024-07-08,day,Acquisition,,,,,Asaphus Vision provides innovative driver-monitoring and interior-monitoring software based on deep-learning technology.,Seed,"Automotive, Machine Learning, Software",http://asaphus.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,,,,Seeing Machines is a computer vision company that delivers advanced driver monitoring system technology for automotive and fleet vehicles.,"Aerospace, Automotive, Computer Vision, Fleet Management, Hardware","Canberra, Australian Capital Territory, Australia","Asia-Pacific (APAC), Australasia",http://www.seeingmachines.co,$50M to $100M,68647686,USD,68647686,IPO,4,"8,256"
Asaphus Vision acquired by Valeo,https://www.crunchbase.com/acquisition/valeo-acquires-asaphus-vision--8d95411b,"Berlin, Berlin, Germany",Asaphus Vision,https://www.crunchbase.com/organization/asaphus-vision,Valeo,https://www.crunchbase.com/organization/valeo,2023-03-24,day,Acquisition,,,,,Asaphus Vision provides innovative driver-monitoring and interior-monitoring software based on deep-learning technology.,Seed,"Automotive, Machine Learning, Software",http://asaphus.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,,,,Valeo is an automotive supplier and manufacturer that designs and produces a wide range of automotive products.,"Automotive, Industrial Manufacturing, Manufacturing","Créteil, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.valeo.com/en/,$10B+,2050000000,EUR,2283860213,IPO,3,"84,595"
assona acquired by Ecclesia Group,https://www.crunchbase.com/acquisition/ecclesia-gruppe-acquires-assona--237c57d0,"Berlin, Berlin, Germany",assona,https://www.crunchbase.com/organization/assona,Ecclesia Group,https://www.crunchbase.com/organization/ecclesia-gruppe,2024-07-31,day,Acquisition,,,,,"assona is an insurance company that offers protection for e-bikes, bicycles, electronic devices and boats.",,"Auto Insurance, Financial Services, Insurance, Professional Services",https://www.assona.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,"Ecclesia Group is an insurance brokerage that provides insurance and risk consulting, insurance procurement, and contract management.","Financial Services, FinTech, Insurance, InsurTech","Detmold, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.ecclesia-gruppe.de,$10M to $50M,,,,,,"4,500"
assona acquired by wefox,https://www.crunchbase.com/acquisition/wefox-acquires-assona--7ccfbc08,"Berlin, Berlin, Germany",assona,https://www.crunchbase.com/organization/assona,wefox,https://www.crunchbase.com/organization/wefox,2021-11-15,day,Acquisition,,,,,"assona is an insurance company that offers protection for e-bikes, bicycles, electronic devices and boats.",,"Auto Insurance, Financial Services, Insurance, Professional Services",https://www.assona.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,"wefox is a platform that connects insurers, brokers, businesses and customers to give the world access to digital insurance solutions.","Financial Services, FinTech, Insurance, InsurTech, Internet","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.wefox.com,$1B to $10B,1510300426,USD,1510300426,,11,"168,367"
ATLAS.ti acquired by Sitetracker,https://www.crunchbase.com/acquisition/sitetraker-acquires-atlas-ti--c25ee77e,"Berlin, Berlin, Germany",ATLAS.ti,https://www.crunchbase.com/organization/atlas-ti,Sitetracker,https://www.crunchbase.com/organization/sitetraker,2024-12-03,day,Acquisition,,,,,"ATLAS.ti is a qualitative analysis software, creates visual structures from information stored on your computer, networks, or the Web.",,"Analytics, Computer, Consulting, Software, Training",https://atlasti.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,"Sitetracker is a SaaS platform for deploying, operating, and servicing critical infrastructure and technology.","Cloud Infrastructure, Information Technology, Project Management, SaaS","Montclair, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",http://www.sitetracker.com,$1M to $10M,183000000,USD,183000000,Late Stage Venture,6,"1,042"
ATLAS.ti acquired by Lumivero,https://www.crunchbase.com/acquisition/lumivero-acquires-atlas-ti--449dfeec,"Berlin, Berlin, Germany",ATLAS.ti,https://www.crunchbase.com/organization/atlas-ti,Lumivero,https://www.crunchbase.com/organization/lumivero,2024-09-12,day,Acquisition,,,,,"ATLAS.ti is a qualitative analysis software, creates visual structures from information stored on your computer, networks, or the Web.",,"Analytics, Computer, Consulting, Software, Training",https://atlasti.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,Lumivero is a software company that provides data collaboration solutions.,"Risk Management, Software","Denver, Colorado, United States","Greater Denver Area, Western US",https://lumivero.com,$1B to $10B,,,,,,"9,523"
Atotech acquired by MKS Instruments,https://www.crunchbase.com/acquisition/mks-instruments-acquires-atotech--e70d7dcb,"Berlin, Berlin, Germany",Atotech,https://www.crunchbase.com/organization/atotech,MKS Instruments,https://www.crunchbase.com/organization/mks-instruments,2021-07-01,day,Acquisition,Cash & Stock,4400000000,USD,4400000000,Atotech is a specialty chemicals company offering electroplating solutions for innovative technology applications.,,"Chemical, Chemical Engineering",http://www.atotech.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1B to $10B,M&A,,,,,"MKS Instruments, Inc. is a global provider of instruments, subsystems and process control solutions that measure, control, power, monitor","Enterprise Software, Information Technology, Manufacturing","Andover, Massachusetts, United States","Greater Boston Area, East Coast, New England",http://www.mksinst.com,$1B to $10B,4974200000,USD,4974200000,IPO,2,"26,963"
ATOZ Facility Solutions acquired by Howoge,https://www.crunchbase.com/acquisition/howoge-acquires-atoz-facility-solutions--2bc4c91a,"Berlin, Berlin, Germany",ATOZ Facility Solutions,https://www.crunchbase.com/organization/atoz-facility-solutions,Howoge,https://www.crunchbase.com/organization/howoge,2024-08-01,day,Acquisition,,,,,"ATOZ Facility Solutions is a property management firm that provides residential, commercial, and specialized real estate services.",,"Facilities Support Services, Property Management, Real Estate",https://atoz-group.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"Howoge is a property development company that specializes in apartments, school buildings, housing and commercial complexes.","Commercial, Property Development, Real Estate, Residential","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.howoge.de,$100M to $500M,,,,,,"9,970"
