Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - Aeditive,https://www.crunchbase.com/funding_round/aeditive-seed--cda69ac4,Aeditive,https://www.crunchbase.com/organization/aeditive,Seed,"Hamburg, Hamburg, Germany, Europe",6000000,EUR,7303562,2021-06-08,Seed,,,,Yes,Revolutionary efficiency in concrete construction; 3D printing solutions for mouldless precast manufacturing,"3D Printing, Industrial Manufacturing, Manufacturing, Mechanical Engineering",,https://www.aeditive.de/en,$1M to $10M,7500000,EUR,9042122,Seed,3,BitStone Capital,6,1,"Atlantic Labs, BitStone Capital, Glatthaar Holding, Marc Stilke, Sebastian Pollok, Young Sohn","606,249"
Seed Round - ahead® | The Human Performance Company,https://www.crunchbase.com/funding_round/ahead-8dce-seed--43cdd613,ahead® | The Human Performance Company,https://www.crunchbase.com/organization/ahead-8dce,Seed,"Hamburg, Hamburg, Germany, Europe",,,,2020-10-07,Seed,,,,Yes,Performance Nutrition for Body and Mind,"Dietary Supplements, Food and Beverage, Health Care, Nutraceutical, Wellness",,https://www.ahead-nutrition.com,$1M to $10M,,,,Seed,2,,1,,Döhler Ventures,"171,562"
Pre Seed Round - ahead® | The Human Performance Company,https://www.crunchbase.com/funding_round/ahead-8dce-pre-seed--dc83588f,ahead® | The Human Performance Company,https://www.crunchbase.com/organization/ahead-8dce,Pre-Seed,"Hamburg, Hamburg, Germany, Europe",,,,2019-08-01,Seed,,,,Yes,Performance Nutrition for Body and Mind,"Dietary Supplements, Food and Beverage, Health Care, Nutraceutical, Wellness",,https://www.ahead-nutrition.com,$1M to $10M,,,,Seed,2,,2,,"Döhler Ventures, FoodLabs","558,298"
Seed Round - ai-omatic solutions,https://www.crunchbase.com/funding_round/ai-omatic-solutions-seed--cfe8a8af,ai-omatic solutions,https://www.crunchbase.com/organization/ai-omatic-solutions,Seed,"Hamburg, Hamburg, Germany, Europe",2000000,EUR,2196489,2024-01-11,Seed,,,,Yes,AI-omatic solutions develop a digital maintenance assistant that transfers an engineer's expert knowledge to an AI system.,Software,,https://www.ai-omatic.com,$1M to $10M,2996489,USD,2996489,Seed,3,,3,,"4Tree Capital, Haufe Group Ventures, Innovationsstarter Fonds","74,196"
Pre Seed Round - ai-omatic solutions,https://www.crunchbase.com/funding_round/ai-omatic-solutions-pre-seed--67e67263,ai-omatic solutions,https://www.crunchbase.com/organization/ai-omatic-solutions,Pre-Seed,"Hamburg, Hamburg, Germany, Europe",800000,USD,800000,2021-05-01,Seed,,,,Yes,AI-omatic solutions develop a digital maintenance assistant that transfers an engineer's expert knowledge to an AI system.,Software,,https://www.ai-omatic.com,$1M to $10M,2996489,USD,2996489,Seed,3,"EIT - European Institute of Innovation and Technology, IFB Innovationsstarter",3,2,"EIT - European Institute of Innovation and Technology, IFB Innovationsstarter, Others Others","276,916"
Seed Round - ai-omatic solutions,https://www.crunchbase.com/funding_round/ai-omatic-solutions-seed--f2a0c578,ai-omatic solutions,https://www.crunchbase.com/organization/ai-omatic-solutions,Seed,"Hamburg, Hamburg, Germany, Europe",,,,2022-10-01,Seed,11000000,USD,11000000,Yes,AI-omatic solutions develop a digital maintenance assistant that transfers an engineer's expert knowledge to an AI system.,Software,,https://www.ai-omatic.com,$1M to $10M,2996489,USD,2996489,Seed,3,,,,,"484,552"
Seed Round - aidhere,https://www.crunchbase.com/funding_round/aidhere-seed--44faf3ca,aidhere,https://www.crunchbase.com/organization/aidhere,Seed,"Hamburg, Hamburg, Germany, Europe",,,,2021-04-15,Seed,,,,Yes,Aidhere develops digital health applications for the holistic treatment of diseases.,mHealth,,http://www.aidhere.com,$1M to $10M,,,,M&A,2,,2,,"Hevella Capital, Peak Pride","412,153"
Series A - aimpower,https://www.crunchbase.com/funding_round/aimpower-series-a--900f8e5c,aimpower,https://www.crunchbase.com/organization/aimpower,Series A,"Hamburg, Hamburg, Germany, Europe",6500000,EUR,6970106,2023-03-13,Early Stage Venture,,,,Yes,"aimpower empowers brands to leverage the power of AI and automation to become better, faster and stronger.","Artificial Intelligence (AI), Market Research, Marketing, SaaS",,https://www.aimpower.ai/,$1M to $10M,6500000,EUR,6970106,Early Stage Venture,1,Nordwind Growth,1,,Nordwind Growth,"30,482"
Convertible Note - Airbox Energy UG,https://www.crunchbase.com/funding_round/airbox-energy-ug-convertible-note--9f26eb6a,Airbox Energy UG,https://www.crunchbase.com/organization/airbox-energy-ug,Convertible Note,"Hamburg, Hamburg, Germany, Europe",25000,EUR,30225,2021-04-27,,,,,No,"Airbox Energy is developing a game changing product that will transform the way we utilize, produce and consume energy.","Energy, Renewable Energy",,,,25000,EUR,30225,,1,Earlybird Venture Capital,1,1,Earlybird Venture Capital,"168,189"
Seed Round - airfocus,https://www.crunchbase.com/funding_round/airfocus-seed--94aa1eb8,airfocus,https://www.crunchbase.com/organization/airfocus,Seed,"Hamburg, Hamburg, Germany, Europe",1700000,EUR,1883285,2019-11-19,Seed,,,,Yes,airfocus is a modular product management software.,"Internet, Product Management, SaaS, Software",,https://airfocus.com,Less than $1M,14887436,USD,14887436,Early Stage Venture,4,Nauta Capital,1,1,Nauta Capital,"117,771"
Series B - airfocus,https://www.crunchbase.com/funding_round/airfocus-series-b--2995d367,airfocus,https://www.crunchbase.com/organization/airfocus,Series B,"Hamburg, Hamburg, Germany, Europe",7500000,USD,7500000,2024-01-10,Early Stage Venture,,,,Yes,airfocus is a modular product management software.,"Internet, Product Management, SaaS, Software",,https://airfocus.com,Less than $1M,14887436,USD,14887436,Early Stage Venture,4,Newion,5,4,"Nauta Capital, Newion, Picea Capital, Riverside Acceleration Capital, XAnge","211,698"
Series A - airfocus,https://www.crunchbase.com/funding_round/airfocus-series-a--41f09a53,airfocus,https://www.crunchbase.com/organization/airfocus,Series A,"Hamburg, Hamburg, Germany, Europe",5000000,USD,5000000,2021-06-07,Early Stage Venture,,,,Yes,airfocus is a modular product management software.,"Internet, Product Management, SaaS, Software",,https://airfocus.com,Less than $1M,14887436,USD,14887436,Early Stage Venture,4,XAnge,2,3,"Nauta Capital, XAnge","357,907"
Pre Seed Round - airfocus,https://www.crunchbase.com/funding_round/airfocus-pre-seed--c5b88aab,airfocus,https://www.crunchbase.com/organization/airfocus,Pre-Seed,"Hamburg, Hamburg, Germany, Europe",450000,EUR,504151,2019-05-14,Seed,,,,Yes,airfocus is a modular product management software.,"Internet, Product Management, SaaS, Software",,https://airfocus.com,Less than $1M,14887436,USD,14887436,Early Stage Venture,4,Picea Capital,1,,Picea Capital,"624,694"
Series A - Akanoo,https://www.crunchbase.com/funding_round/akanoo-series-a--7c1ea3dc,Akanoo,https://www.crunchbase.com/organization/akanoo,Series A,"Hamburg, Hamburg, Germany, Europe",400000,EUR,493158,2018-03-31,Early Stage Venture,,,,Yes,Akanoo connects visitors of online-shops with tailor-made incentives to boost shop revenues.,"Analytics, B2B, Big Data, E-Commerce, Predictive Analytics, SaaS, Software",,http://www.akanoo.com,$1M to $10M,993158,USD,993158,Early Stage Venture,2,,,,,"299,193"
Pre Seed Round - alfatier GmbH,https://www.crunchbase.com/funding_round/alfatier-gmbh-pre-seed--4decf66b,alfatier GmbH,https://www.crunchbase.com/organization/alfatier-gmbh,Pre-Seed,"Hamburg, Hamburg, Germany, Europe",,,,2021-05-15,Seed,,,,Yes,"SaaS, HRtech, Talent Management, Skills Management","SaaS, Software",,https://alfatier.io,,,,,Seed,1,Neuhauss Capital UG,1,,Neuhauss Capital UG,"105,538"
Venture Round - Almondia,https://www.crunchbase.com/funding_round/almondia-series-unknown--127a49fb,Almondia,https://www.crunchbase.com/organization/almondia,Venture - Series Unknown,"Hamburg, Hamburg, Germany, Europe",,,,2017-06-01,,,,,Yes,Almondia is a digital answer to the question of home construction.,Construction,,https://almondia.com/,,,,,,1,Obotritia Capital,1,,Obotritia Capital,"324,596"
Private Equity Round - Ankerkraut,https://www.crunchbase.com/funding_round/ankerkraut-private-equity--fc2eb790,Ankerkraut,https://www.crunchbase.com/organization/ankerkraut,Private Equity,"Hamburg, Hamburg, Germany, Europe",,,,2020-08-07,Private Equity,,,,Yes,Ankerkraut produce high-quality spices and spice mixtures without flavor enhancers and flavors.,Food and Beverage,,https://www.ankerkraut.de/,,,,,M&A,2,EMZ Partners,1,,EMZ Partners,"482,187"
