Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - wryte,https://www.crunchbase.com/funding_round/wryte-seed--14235496,wryte,https://www.crunchbase.com/organization/wryte,Seed,"Munich, Bayern, Germany, Europe",200000,EUR,220970,2022-04-01,Seed,12000000,EUR,13258204,Yes,Wryte is a transcription app that connectsand masters all educational activities.,"Apps, Education, Information Technology, Mobile Apps, Software",,https://www.wryte.io/,Less than $1M,1038855,USD,1038855,Seed,3,,,,,"504,659"
Series C - Xempus AG,https://www.crunchbase.com/funding_round/xbav-series-c--f1fd5b8d,Xempus AG,https://www.crunchbase.com/organization/xbav,Series C,"Munich, Bayern, Germany, Europe",25000000,EUR,26997432,2020-04-06,Late Stage Venture,,,,Yes,Xempus is a pension and life insurance distribution platform.,"Financial Services, FinTech, Insurance, InsurTech, Life Insurance, Software",,https://www.xempus.com/en,$10M to $50M,124354273,USD,124354273,Late Stage Venture,5,HPE Growth,3,3,"Armada Investment AG, Cinco Capital, HPE Growth","250,686"
Series D - Xempus AG,https://www.crunchbase.com/funding_round/xbav-series-d--d4ecf683,Xempus AG,https://www.crunchbase.com/organization/xbav,Series D,"Munich, Bayern, Germany, Europe",,,,2022-09-29,Late Stage Venture,,,,Yes,Xempus is a pension and life insurance distribution platform.,"Financial Services, FinTech, Insurance, InsurTech, Life Insurance, Software",,https://www.xempus.com/en,$10M to $50M,124354273,USD,124354273,Late Stage Venture,5,InfraVia Capital Partners,3,2,"InfraVia Capital Partners, Reimann Investors, TempoCap","345,298"
Series D - Xempus AG,https://www.crunchbase.com/funding_round/xbav-series-d--3b17abab,Xempus AG,https://www.crunchbase.com/organization/xbav,Series D,"Munich, Bayern, Germany, Europe",70000000,USD,70000000,2022-03-10,Late Stage Venture,,,,Yes,Xempus is a pension and life insurance distribution platform.,"Financial Services, FinTech, Insurance, InsurTech, Life Insurance, Software",,https://www.xempus.com/en,$10M to $50M,124354273,USD,124354273,Late Stage Venture,5,Goldman Sachs Asset Management,3,3,"Cinco Capital, Goldman Sachs Asset Management, HPE Growth","655,902"
Series B - Xempus AG,https://www.crunchbase.com/funding_round/xbav-series-b--6a50a3bb,Xempus AG,https://www.crunchbase.com/organization/xbav,Series B,"Munich, Bayern, Germany, Europe",21000000,EUR,24075942,2018-10-22,Early Stage Venture,,,,Yes,Xempus is a pension and life insurance distribution platform.,"Financial Services, FinTech, Insurance, InsurTech, Life Insurance, Software",,https://www.xempus.com/en,$10M to $50M,124354273,USD,124354273,Late Stage Venture,5,Armada Investment AG,2,1,"Armada Investment AG, Tom Hulme","659,895"
Seed Round - Xound,https://www.crunchbase.com/funding_round/xound-seed--7dde14ea,Xound,https://www.crunchbase.com/organization/xound,Seed,"Munich, Bayern, Germany, Europe",120000,EUR,128370,2023-06-06,Seed,,,,Yes,"Xound is an AI voice cleaner and background noise remover for content creators, podcasters, YouTubers, and Tiktokers.","Artificial Intelligence (AI), SaaS, Video",,https://xound.io,,120000,EUR,128370,Seed,1,,1,,Digital Hunter,"155,633"
Series B - XPAY Group,https://www.crunchbase.com/funding_round/xpay-development-gmbh-series-b--e7b3861d,XPAY Group,https://www.crunchbase.com/organization/xpay-development-gmbh,Series B,"Munich, Bayern, Germany, Europe",,,,2021-03-10,Early Stage Venture,,,,Yes,XPAY Group is a financial services company that offers loyalty as a service.,"Banking, Credit Cards, Debit Cards, Financial Services, Loyalty Programs, Payments",,https://www.xpay.de/,$1M to $10M,,,,Early Stage Venture,1,,2,,"Christian Edler, Rose Park Advisors","129,217"
Series B - yfood Labs,https://www.crunchbase.com/funding_round/yfood-labs-gmbh-series-b--c0bd5afc,yfood Labs,https://www.crunchbase.com/organization/yfood-labs-gmbh,Series B,"Munich, Bayern, Germany, Europe",16700000,USD,16700000,2020-04-21,Early Stage Venture,,,,Yes,yfood Labs is a food-tech startup which designs smart food solutions for a modern generation.,"Food and Beverage, Food Processing, Nutrition",,https://www.yfood.eu/,$1M to $10M,251971990,USD,251971990,,4,Felix Capital,4,,"Felix Capital, Five Seasons Ventures, Fonterra Co-operative Group, New Ground Ventures","490,781"
Series A - yfood Labs,https://www.crunchbase.com/funding_round/yfood-labs-gmbh-series-a--db2af3c5,yfood Labs,https://www.crunchbase.com/organization/yfood-labs-gmbh,Series A,"Munich, Bayern, Germany, Europe",4700000,USD,4700000,2019-06-06,Early Stage Venture,,,,Yes,yfood Labs is a food-tech startup which designs smart food solutions for a modern generation.,"Food and Beverage, Food Processing, Nutrition",,https://www.yfood.eu/,$1M to $10M,251971990,USD,251971990,,4,Five Seasons Ventures,2,,"Five Seasons Ventures, New Ground Ventures","548,496"
Seed Round - yfood Labs,https://www.crunchbase.com/funding_round/yfood-labs-gmbh-seed--43a98b98,yfood Labs,https://www.crunchbase.com/organization/yfood-labs-gmbh,Seed,"Munich, Bayern, Germany, Europe",1200000,USD,1200000,2018-11-13,Seed,,,,Yes,yfood Labs is a food-tech startup which designs smart food solutions for a modern generation.,"Food and Beverage, Food Processing, Nutrition",,https://www.yfood.eu/,$1M to $10M,251971990,USD,251971990,,4,Freigeist Capital,1,,Freigeist Capital,"655,950"
