url,company_id,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax,error
https://www.linkedin.com/company/colibri-energy/,17943999,1044,17,11-50,11,50,
https://www.linkedin.com/company/collective-ace-group/,74505070,1645,16,11-50,11,50,
https://www.linkedin.com/company/comgy.io,25168259,3649,26,11-50,11,50,
https://www.linkedin.com/company/compado/,11260023,5450,51,51-200,51,200,
https://www.linkedin.com/company/conductivai/,12974692,618,1,2-10,2,10,
https://www.linkedin.com/company/connylegal/,13976616,1213,62,51-200,51,200,
https://de.linkedin.com/company/wirsindconstruyo,13984504,1479,17,51-200,51,200,
https://www.linkedin.com/company/contentflow1/,24980179,758,7,11-50,11,50,
https://www.linkedin.com/company/cookies-labs-gmbh,7967430,113,0,11-50,11,50,
https://www.linkedin.com/company/coolbeez/,16171415,256,8,2-10,2,10,
https://www.linkedin.com/company/10840600/,10840600,1492,17,11-50,11,50,
https://www.linkedin.com/company-beta/10689364/,,,,,,,Failed after proxy rotation
https://www.linkedin.com/company/cosuno/,12601870,7153,73,51-200,51,200,
https://www.linkedin.com/in/cristian-alzati-7b832b1,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/coureon-logistics-gmbh,10927006,192,2,11-50,11,50,
https://www.linkedin.com/company/covert-science-gmbh,73166439,2,3,201-500,201,500,
https://www.linkedin.com/company/coya/,18201234,3605,9,51-200,51,200,
https://www.linkedin.com/company/cryptoticker-io/,18393971,1639,11,11-50,11,50,
https://de.linkedin.com/company/culcha,30701546,1449,7,11-50,11,50,
https://www.linkedin.com/company/cyberdirekt/,18281730,1934,24,11-50,11,50,
https://www.linkedin.com/company/cycle-eco,11803545,5654,149,51-200,51,200,
https://www.linkedin.com/company/dandelin/,18174533,1694,1,2-10,2,10,
https://www.linkedin.com/company/datarade,18583824,4210,26,11-50,11,50,
https://www.linkedin.com/company/dearemployee/about/,17944247,2646,14,11-50,11,50,
https://www.linkedin.com/company/deckard---a.i.-for-coding/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/deep-neuron-lab/,12589526,3256,31,11-50,11,50,
https://www.linkedin.com/company/deepsafety/,13016023,612,12,11-50,11,50,
https://www.linkedin.com/company/deepset-ai,18582479,18852,82,51-200,51,200,
https://www.linkedin.com/company/deepspin/about/,34923599,5347,23,11-50,11,50,
https://www.linkedin.com/company/deepstreamhub/,10446930,295,2,11-50,11,50,
https://www.linkedin.com/company/defudger/,13028010,563,1,2-10,2,10,
https://www.linkedin.com/company/degura-gmbh,20515995,5360,40,11-50,11,50,
https://www.linkedin.com/company/dstudienfinanzierung/,17926318,623,6,2-10,2,10,
https://il.linkedin.com/company/dental21-de,34930726,1495,97,501-1000,501,1000,
https://www.linkedin.com/company/dentolo/,9454530,6085,148,51-200,51,200,
