Funding ID,Organization Name,Funding Type,Money Raised,Announced Date,Lead Investors,Number of Investors,Investor Names,Company ID
002060,Steady,Angel,25000.0,2018-08-18,,,[''],001001
002061,Steady,Seed,1500000.0,2018-11-29,Müller Medien,2.0,"['IBB Ventures', 'Müller Medien']",001001
002062,STOMT,Seed,,2018-02-01,Inncubator Investments,1.0,['Inncubator Investments'],001004
002063,store2be,Seed,,2018-03-14,,3.0,"['Atlantic Ventures', 'Global Founders Capital', 'Project A Ventures']",000000
002064,Super Izzy AI,Pre-Seed,,2018-01-01,,1.0,['DMZ'],001008
002065,Super Izzy AI,Seed,240000.0,2018-05-04,"Lutz Haase, Startup Campus, Startupbootcamp Digital Health Berlin",3.0,"['Lutz Haase', 'Startup Campus', 'Startupbootcamp Digital Health Berlin']",001008
002066,Surve Mobility,Seed,,2018-01-01,Linden Capital,1.0,['Linden Capital'],001009
002067,T-knife,Seed,8000000.0,2018-12-01,,2.0,"['Andera Partners', 'Boehringer Ingelheim Venture Fund']",001013
002068,Taledo,Seed,900000.0,2018-12-01,,2.0,"['Lakeside Invest & Consult', 'Ragnar Kruse']",001017
002069,Talentwunder,Seed,,2018-08-31,,1.0,['Plug and Play'],000000
002070,Talon.One,Series A,,2018-12-18,,1.0,['IRIS'],001019
002071,Tausendkind,Venture - Series Unknown,15000000.0,2018-03-20,,6.0,"['Capnamic Ventures', 'Davidson Technology Growth Debt Fund', 'IBB Ventures', 'MGO Digital Ventures', 'pd ventures', 'Rheinische Post Mediengruppe']",000000
002072,Taxfix,Series A,13000000.0,2018-08-09,Valar Ventures,3.0,"['Creandum', 'redalpine', 'Valar Ventures']",001022
002073,Tellonym,Seed,,2018-09-01,,2.0,"['BLN Capital', 'Janosch Kühn']",001024
002074,Teraki,Convertible Note,1250000.0,2018-04-01,,2.0,"['GPS Ventures', 'Paladin Capital Group']",000000
002075,The Female Company,Angel,,2018-02-14,,1.0,['Yannick Frank'],001029
002076,The Joy,Seed,1600000.0,2018-12-07,,,[''],000000
002077,The Rainforest Company,Venture - Series Unknown,,2018-12-05,Katjes Greenfood,1.0,['Katjes Greenfood'],001031
002078,Think-it,Pre-Seed,150000.0,2018-09-10,Katapult,1.0,['Katapult'],001034
002079,TIER Mobility,Seed,2000000.0,2018-10-15,Speedinvest,2.0,"['Point Nine', 'Speedinvest']",001037
002080,TIER Mobility,Series A,36000000.0,2018-10-23,Northzone,8.0,"['Indico Capital Partners', 'Kibo Ventures', 'Market One Capital', 'Nico Rosberg', 'Northzone', 'Point Nine', 'Speedinvest', 'White Star Capital']",001037
002081,Tillhub,Series A,4000000.0,2018-04-25,,6.0,"['Bank of America', 'Dietrich Gottwald', 'Elavon', 'Felix Jahn', 'Müller Medien', 'Neosfer']",001039
002082,tink,Series B,12500000.0,2018-10-30,"Global Founders Capital, SevenVentures, Vattenfall",3.0,"['Global Founders Capital', 'SevenVentures', 'Vattenfall']",001043
002083,TME Pharma,Post-IPO Equity,6200000.0,2018-11-16,Acuitas Investments,1.0,['Acuitas Investments'],000000
002084,Tourlane,Series B,24000000.0,2018-12-06,Sequoia Capital,4.0,"['DN Capital', 'HV Capital', 'Sequoia Capital', 'Spark Capital']",001048
002085,Tourlane,Series A,8500000.0,2018-03-23,"HV Capital, Spark Capital",5.0,"['DN Capital', 'Fritz Demopoulos', 'HV Capital', 'NFQ Capital', 'Spark Capital']",001048
